Swedish_Lemma,English_Lemma,Chinese_Lemma,POS,CEFR
underskattning,underestimation,低估,NOUN,B2
ansvarig,person in charge,负责人,NOUN,B1
komma upp,come up,走上前来,VERB,A2
fasindelad,phased,分阶段的,ADJ,B2
den där,that,那个,DET,A1
vänster,left,左边的,ADJ,A1
inte kunna rå för,cannot help,忍不住,VERB,B1
universell tillämpbarhet,universal applicability,普遍适用性,NOUN,Advanced
tillskriva,attribute,归因于,VERB,B2
partikel,particle,助词,PART,B1
frätande,corrosive,腐蚀性的,ADJ,B2
instrument,instrument,乐器,NOUN,A2
framhäva,highlight,强调,VERB,B2
exponent,exponent,指数,NOUN,B2
reformera,reform,改革,VERB,B2
millennium,millennium,千年,NOUN,B2
nation,nation,国家,NOUN,B1
militär order,military order,军令,NOUN,B2
älskvärd,affable,和蔼可亲的,ADJ,Advanced
elegant,elegant,优雅的,ADJ,A2
faderlig,paternal,父亲的,ADJ,B2
ångra,undo,撤销,VERB,B1
slita ut,wear out,磨损,VERB,B1
placera,seat,使就座,VERB,B1
avbryta,abort,中止,VERB,B2
avskräcka,dishearten,使灰心,VERB,Advanced
inälvor,entrails,内脏,NOUN,B2
litterär,literary,文学的,ADJ,B2
leda till,lead to,导致,VERB,B1
lägst,lowest,最低的,ADJ,A2
minimal,minimal,最小的,ADJ,B2
meteorologisk,meteorological,气象的,ADJ,B2
besvära,inconvenience,打扰,VERB,B2
göra stolt,make proud,使自豪,VERB,B1
rama in,frame,加框,VERB,B1
stänga av,switch off,关掉,VERB,A1
ställa tillbaka,put back,放回,VERB,A2
omstarta,relaunch,重新启动,VERB,B2
ungkarl,bachelor,单身汉,NOUN,B1
rasa mot,enrage,激怒,VERB,B2
skrämma,daunt,使畏缩,VERB,Advanced
förplikta,oblige,强迫,VERB,B2
upphäva,repeal,废除,VERB,B2
kassörska,cashier,收银员,NOUN,A2
hagla,hail,下冰雹,VERB,B1
gnälla,whimper,呜咽,VERB,B2
föda,give birth,生育,VERB,B1
spillror,rubble,瓦砾,NOUN,B2
skänka bort,give as a gift,赠送,VERB,A2
klargöra,elucidate,阐明,VERB,Advanced
någonting,anything,任何事,PRON,A1
vilken,which,哪个,DET,A1
exponentiell,exponential,指数的,ADJ,B2
mytisk,mythical,神话的,ADJ,B2
kvinnlig,feminine,女性的,ADJ,B1
olympisk,olympic,奥林匹克的,ADJ,A2
frustration,frustration,沮丧,NOUN,B2
precision,precision,精确度,NOUN,B2
administration,administration,管理,NOUN,B2
terrorist,terrorist,恐怖分子,NOUN,B1
envishet,insistence,坚持,NOUN,B2
insolvens,insolvency,破产,NOUN,Advanced
pornografi,pornography,色情制品,NOUN,B2
erotik,eroticism,情色,NOUN,B2
folkräkning,census,人口普查,NOUN,B2
trohet,fidelity,忠诚,NOUN,B2
inkludering,inclusion,包容,NOUN,B2
kognition,cognition,认知,NOUN,B2
misshandel,mistreatment,虐待,NOUN,B2
islamisk,islamic,伊斯兰教的,ADJ,B1
försvagning,weakening,削弱,NOUN,B2
cyklon,cyclone,气旋,NOUN,B2
återförening,reunification,重新统一,NOUN,B2
omlokalisering,relocation,重新安置,NOUN,B2
fris,frieze,带状浮雕,NOUN,Advanced
straffrihet,impunity,免受惩罚,NOUN,Advanced
belysning,illumination,照明,NOUN,B1
samproduktion,coproduction,联合制作,NOUN,B2
humanist,humanist,人道主义者,NOUN,B2
humanitär,humanitarian,人道主义的,ADJ,B2
insulin,insulin,胰岛素,NOUN,B1
brott,offense,违法行为,NOUN,B1
flytta bort,move away,搬走,VERB,A2
jubel,jubilation,欢欣,NOUN,B2
aktning,deference,遵从,NOUN,Advanced
festlig,festive,喜庆的,ADJ,B1
rodna,redden,变红,VERB,B2
dataintrång,hacking,黑客攻击,NOUN,B2
falskhet,duplicity,口是心非,NOUN,Advanced
uppskov,postponement,推迟,NOUN,B2
självrannsakan,introspection,内省,NOUN,Advanced
framkalla,evoke,唤起,VERB,B2
eftergiftspolitik,appeasement,姑息政策,NOUN,Advanced
opinionsundersökning,poll,民意调查,NOUN,B1
metafor,metaphor,隐喻,NOUN,B2
folkomröstning,referendum,全民公投,NOUN,B2
polarisering,polarization,两极分化,NOUN,B2
hantera,wield,挥舞,VERB,B2
paradera,parade,游行,VERB,B2
gynna,benefit,有益于,VERB,B1
frammaning,evocation,唤起,NOUN,Advanced
rådgivande,consultative,咨询的,ADJ,B2
konfessionell,confessional,教派的,ADJ,Advanced
beroende,dependence,依赖,NOUN,B2
fascination,fascination,着迷,NOUN,B2
förtala,slander,诽谤,VERB,B2
fullständigt namn,full name,全名,NOUN,A2
militär underrättelsetjänst,military intelligence,军事情报,NOUN,B2
inflammation,inflammation,炎症,NOUN,B1
nyttjanderätt,bare ownership,所有权保留,NOUN,Advanced
konformism,conformism,从众主义,NOUN,Advanced
franchise,franchise,特许经营,NOUN,B2
slita ut,tear out,撕下,VERB,B1
flytta,move house,搬家,VERB,A2
spridning,diffusion,扩散,NOUN,B2
glida,slide,滑动,VERB,A2
emboli,embolism,栓塞,NOUN,Advanced
osäkerhet,insecurity,不安全感,NOUN,B2
hemsöka,infest,大批滋生,VERB,B2
uppsluka,engross,使全神贯注,VERB,Advanced
efternamn,last name,姓氏,NOUN,A1
längta efter,long for,渴望,VERB,B1
syntetisk,synthetic,合成的,ADJ,B2
rycka upp med roten,uproot,连根拔起,VERB,B2
hålla fast,adhere,坚持,VERB,B2
buckla,dent,凹痕,NOUN,B2
regelbundenhet,regularity,规律性,NOUN,B2
introvert,introverted,内向的,ADJ,B2
deflation,deflation,通货紧缩,NOUN,B2
nomadliv,nomadism,游牧生活,NOUN,Advanced
alternativ,alternative,替代方案,NOUN,A2
patent,patent,专利,NOUN,B2
plommon,plum,李子,NOUN,A2
telegram,telegram,电报,NOUN,B1
bakterier,bacteria,细菌,NOUN,A2
barnslig,filial,孝顺的,ADJ,B2
uttalad,pronounced,明显的,ADJ,B2
leka,spawn,产卵,VERB,B2
ballong,balloon,气球,NOUN,A2
nomad,nomad,游牧民,NOUN,B2
skingra,dissipate,消散,VERB,B2
parlamentarisk,parliamentary,议会的,ADJ,B2
programmera,program,编写程序,VERB,B1
trädgårdsskötsel,gardening,园艺,NOUN,A2
hy,complexion,肤色,NOUN,B2
omdömesförmåga,discernment,洞察力,NOUN,Advanced
avtryck,imprint,印记,NOUN,B2
uppgå till,amount to,总计达,VERB,B2
belgisk,belgian,比利时的,ADJ,A2
manifest,manifesto,宣言,NOUN,B2
pressmeddelande,press release,新闻稿,NOUN,B1
däremellan,in between,在两者之间,ADV,B1
av en slump,by chance,碰巧,ADV,A2
varmt,warmly,热情地,ADV,A2
allvarligt,gravely,严重地,ADV,B2
precis,precisely,精确地,ADV,B1
samvetsgrant,scrupulously,严谨地,ADV,Advanced
vattenpöl,puddle,水洼,NOUN,A2
gärna,gladly,乐意地,ADV,A1
definitivt,decidedly,果断地,ADV,B2
uttryckligen,explicitly,明确地,ADV,B2
knappt,barely,勉强,ADV,B1
massivt,massively,大量地,ADV,B2
otvivelaktigt,undoubtedly,毫无疑问地,ADV,B2
med det,with it,随之,ADV,B1
piano,piano,钢琴,NOUN,A1
visum,visa,签证,NOUN,A2
sakta ner,slow down,减速,VERB,A2
tillhörighet,affiliation,从属关系,NOUN,B2
animation,animation,动画,NOUN,A2
omvandling,transformation,转变,NOUN,B2
planering,planning,规划,NOUN,A2
souvenir,souvenir,纪念品,NOUN,A2
förgylla,gild,给镀金,VERB,B2
transit,transit,过境,NOUN,B2
refräng,refrain,副歌,NOUN,A2
rörmokeri,plumbing,管道系统,NOUN,B2
skidåkning,skiing,滑雪,NOUN,A1
uppsägning,layoff,解雇,NOUN,B2
distraktion,distraction,分心,NOUN,B2
inflation,inflation,通货膨胀,NOUN,B2
pedanteri,pedantry,迂腐,NOUN,Advanced
pluralism,pluralism,多元化,NOUN,B2
amulett,amulet,护身符,NOUN,B2
närmande,rapprochement,和解,NOUN,Advanced
manipulation,manipulation,操纵,NOUN,B2
urbanisering,urbanization,城市化,NOUN,B2
skatteflykt,evasion,逃避,NOUN,B2
vägledning,guidance,指导,NOUN,B1
tajmning,timing,时机选择,NOUN,B1
stämpla,plot,密谋,VERB,B2
förekomst,incidence,发生率,NOUN,B2
moratorium,moratorium,暂停,NOUN,Advanced
historicitet,historicity,历史真实性,NOUN,Advanced
avvika,diverge,分歧,VERB,B2
divergens,divergence,分歧,NOUN,Advanced
skryt,bragging,吹嘘,NOUN,B2
heterogenitet,heterogeneity,异质性,NOUN,Advanced
erudition,erudition,博学,NOUN,Advanced
proselytism,proselytism,劝诱改宗,NOUN,Advanced
stabilisering,stabilization,稳定化,NOUN,B2
homogenitet,homogeneity,同质性,NOUN,Advanced
överskrida,overstep,逾越,VERB,B2
kosmetisk,cosmetic,美容的,ADJ,B1
hålrum,cavity,腔,NOUN,B2
drabbas av,incur,招致,VERB,B2
omvandling,conversion,转化,NOUN,B2
layout,layout,版面设计,NOUN,B1
schematisk,schematic,示意性的,ADJ,B2
lägga sig i,meddle,管闲事,VERB,B2
inflöde,influx,涌入,NOUN,B2
tveka,dither,犹豫不决,VERB,Advanced
besöka ofta,frequent,常去,VERB,B2
kronologi,chronology,年代学,NOUN,B2
förfalskning,counterfeiting,伪造,NOUN,B2
slapphet,laxity,松懈,NOUN,Advanced
förfoga över,have at one's disposal,支配,VERB,B2
bläddra igenom,leaf through,翻阅,VERB,B1
industrialisering,industrialization,工业化,NOUN,B2
hypertrofi,hypertrophy,肥大,NOUN,Advanced
förstärkning,amplification,放大,NOUN,B2
medlidande,commiseration,怜悯,NOUN,Advanced
nedlåtenhet,condescension,居高临下,NOUN,Advanced
resfeber,travel fatigue,旅途劳顿,NOUN,B2
pantsätta,pledge,保证,VERB,B2
uppräkning,enumeration,列举,NOUN,Advanced
justering,adjustment,调整,NOUN,B2
didaktisk,didactic,说教的,ADJ,Advanced
pedagogisk,educational,教育的,ADJ,B1
inkvisition,inquisition,宗教裁判所,NOUN,B2
ödesväxling,vicissitude,变迁,NOUN,Advanced
snålhet,parsimony,吝啬,NOUN,Advanced
indoktrinering,indoctrination,灌输,NOUN,Advanced
rörlighet,mobility,流动性,NOUN,B2
ironisera,ironize,嘲弄,VERB,Advanced
svullna,swell,肿胀,VERB,B2
medla,intercede,调解,VERB,Advanced
åkalla,invoke,祈求,VERB,B2
mellanlandning,stopover,中途停留,NOUN,B1
illustration,illustration,插图,NOUN,A2
sparsamhet,frugality,节俭,NOUN,B2
försonlig,conciliatory,安抚的,ADJ,B2
turkisk,turkish,土耳其的,ADJ,A2
kryphål,loophole,漏洞,NOUN,B2
berusning,drunkenness,醉酒,NOUN,B2
orubblig,immovable,不可移动的,ADJ,B2
förmögen,wealthy,富有的,ADJ,B1
bräka,bleat,羊叫,VERB,B2
genomsålla,riddle,布满,VERB,Advanced
ljuskrona,chandelier,枝形吊灯,NOUN,B1
revolt,revolt,起义,NOUN,B2
schemaläggning,scheduling,排程,NOUN,B1
ebb,low tide,低潮,NOUN,B2
paronomasi,paronomasia,双关语修辞,NOUN,Advanced
okunnighet,ignorance,无知,NOUN,B2
mobil,mobile,移动的,ADJ,A2
kalk,lime,石灰,NOUN,B1
pris,prize,奖赏,NOUN,A1
gravitation,gravitation,引力,NOUN,B2
sittande,seated,坐着的,ADJ,A2
morfar,grandpa,外公,NOUN,A1
skada,injure,伤害,VERB,A2
gruppera,group,分组,VERB,B1
begravningsartad,funereal,阴郁的,ADJ,Advanced
lägga undan,set aside,搁置,VERB,B1
embryo,embryo,胚胎,NOUN,B2
atmosfärisk,atmospheric,大气的,ADJ,B2
guidad tur,guided tour,有导游的游览,NOUN,A2
inneboende,intrinsic,固有的,ADJ,B2
delvis,partially,部分地,ADV,B1
partiell,partial,部分的,ADJ,B2
nyhet,novelty,新奇事物,NOUN,B2
homonymi,homonymy,同音异义,NOUN,Advanced
fjärrkontroll,remote control,遥控器,NOUN,A2
så snart som,as soon as,一就,SCONJ,A2
intuition,intuition,直觉,NOUN,B2
plöjning,plowing,耕地,NOUN,B2
melankolisk,melancholy,忧郁的,ADJ,B2
lava,lava,熔岩,NOUN,B1
gränsa till,border,毗邻,VERB,B1
stimulus,stimulus,刺激,NOUN,B2
alliera sig,ally,结盟,VERB,B2
innehavare,holder,持有者,NOUN,B1
stipendiat,scholarship holder,奖学金获得者,NOUN,B2
försiktig,circumspect,谨慎的,ADJ,B2
ellips,ellipsis,省略,NOUN,B2
befria,free,释放,VERB,A2
dagis,daycare,日托班,NOUN,A2
lyckträff,lucky chance,侥幸机会,NOUN,B1
prerogativ,prerogative,特权,NOUN,Advanced
fåfänglighet,fatuity,愚昧,NOUN,Advanced
neutralisera,neutralize,使中和,VERB,B2
gerontokrati,gerontocracy,老人政治,NOUN,Advanced
portion,portion,一份,NOUN,A2
ranson,ration,定额配给,NOUN,B2
prydnadssak,trinket,小饰品,NOUN,B2
server,server,服务器,NOUN,B1
reservoar,reservoir,水库,NOUN,B2
mitt,midst,中间,NOUN,B2
orätt,wrong,过错,NOUN,B1
illojal,disloyal,不忠的,ADJ,B2
inkorrekt,incorrect,不正确的,ADJ,A2
bedöva,numb,使麻木,VERB,B2
skit,shit,狗屎,NOUN,A2
tröstlöshet,desolation,荒凉,NOUN,Advanced
privatisera,privatize,私有化,VERB,B2
resväg,itinerary,行程,NOUN,B1
lätta upp,lighten,减轻,VERB,B2
devalvering,devaluation,贬值,NOUN,B2
pittoresk,picturesque,风景如画的,ADJ,B1
förmoda,conjecture,推测,VERB,Advanced
slå läger,camp,扎营,VERB,A2
skräp,junk,垃圾,NOUN,B1
förlovning,betrothal,订婚,NOUN,B1
trasa,rag,抹布,NOUN,A2
medfödd,congenital,先天的,ADJ,Advanced
otrohet,infidelity,不忠,NOUN,B2
permanent,permanent,永久的,ADJ,B1
dubbning,dubbing,配音,NOUN,B1
semantik,semantics,语义学,NOUN,B2
slå samman,merge,合并,VERB,B2
gosedjur,plush toy,毛绒玩具,NOUN,A1
demagogi,demagoguery,煽动,NOUN,Advanced
diktsamling,poetry collection,诗集,NOUN,B1
outtröttlig,tireless,不知疲倦的,ADJ,B2
skattebetalare,taxpayer,纳税人,NOUN,B1
cyklist,cyclist,骑自行车的人,NOUN,A2
solros,sunflower,向日葵,NOUN,A2
patrull,patrol,巡逻队,NOUN,B1
hertiginna,duchess,公爵夫人,NOUN,B2
defensiv,defensive,防御性的,ADJ,B2
diktator,dictator,独裁者,NOUN,B1
relevant,relevant,相关的,ADJ,B1
den där,that one,那一个,PRON,A1
vissna,wilt,枯萎,VERB,B2
tvåhövdad,two-headed,双头的,ADJ,B2
vårlig,vernal,春天的,ADJ,Advanced
lekkamrat,playmate,玩伴,NOUN,A2
symbolism,symbolism,象征主义,NOUN,B2
högkonjunktur,boom,繁荣,NOUN,B2
robot,robot,机器人,NOUN,A2
lyster,luster,光泽,NOUN,B2
överlägsen,superior,优越的,ADJ,B2
doft,fragrance,香味,NOUN,B1
anmärkningsvärd,remarkable,显著的,ADJ,B2
mildhet,clemency,仁慈,NOUN,Advanced
tecknare,draftsman,绘图员,NOUN,B2
vägavgift,toll,通行费,NOUN,B1
telefonnummer,telephone number,电话号码,NOUN,A1
emblematisk,emblematic,象征性的,ADJ,Advanced
symbolisk,symbolic,象征性的,ADJ,B2
bevattna,irrigate,灌溉,VERB,B2
förfära,appal,使惊骇,VERB,B2
marmor,marble,大理石,NOUN,B1
porto,postage,邮资,NOUN,A2
chips,chip,薯片,NOUN,A1
besvärjelse,incantation,咒语,NOUN,B2
prydnad,ornament,装饰品,NOUN,B1
gå upp i vikt,gain weight,增重,VERB,A2
implantera,implant,植入,VERB,B2
tidsmässig,temporal,时间的,ADJ,B2
byvind,squall,飑,NOUN,Advanced
fängelse,jail,监狱,NOUN,A2
konfidentialitet,confidentiality,保密性,NOUN,B2
plundring,plunder,抢劫,NOUN,B2
propp,plug,插头,NOUN,A2
avkomling,descendant,后裔,NOUN,B2
tidigare,prior,在先的,ADJ,B2
trollkarl,sorcerer,巫师,NOUN,B1
upphettad,heated,激烈的,ADJ,B2
orörlig,motionless,一动不动的,ADJ,B2
lättrogenhet,credulity,轻信,NOUN,Advanced
kasuistik,casuistry,决疑论,NOUN,Advanced
spika,nail,用钉子钉,VERB,B1
stötta upp,prop up,支撑,VERB,B2
fru,madam,女士,NOUN,A2
cynism,cynicism,愤世嫉俗,NOUN,B2
navel,navel,肚脐,NOUN,B1
syrisk,syrian,叙利亚的,ADJ,B1
liten matta,carpet rug,小地毯,NOUN,A2
cent,cent,分,NOUN,A2
centimeter,centimeter,厘米,NOUN,A1
skoter,scooter,踏板车,NOUN,A2
villkorlig,conditional,附带条件的,ADJ,B2
skiva,slice,薄片,NOUN,A2
slogan,slogan,口号,NOUN,B1
migrän,migraine,偏头痛,NOUN,B1
galler,grid,网格,NOUN,B2
vinterlik,wintry,冬天的,ADJ,B2
högt uppsatt person,dignitary,显要人物,NOUN,B2
band,ribbon,缎带,NOUN,A2
rand,stripe,条纹,NOUN,A2
skölja,rinse,冲洗,VERB,B1
trolldom,witchcraft,巫术,NOUN,B2
erotisk,erotic,色情的,ADJ,B2
bygga upp,build up,建立,VERB,B1
djävulsk,diabolical,恶毒的,ADJ,B2
djävulsartad,devilish,恶魔般的,ADJ,B2
galant,gallant,英勇的,ADJ,Advanced
polis,policeman,警察,NOUN,A1
terrass,terrace,露台,NOUN,A2
utomäktenskaplig,illegitimate,私生的,ADJ,B2
emblem,emblem,象征,NOUN,B2
stadsvapen,coat of arms,纹章,NOUN,B2
avtal,deal,协议,NOUN,B1
sandal,sandal,凉鞋,NOUN,A2
upprätta,draw up,起草,VERB,B2
slå ner,strike down,击倒,VERB,B2
knarra,creak,嘎吱作响,VERB,B2
kinkig,fussy,挑剔的,ADJ,B2
ge en örfil,slap,扇耳光,VERB,B1
gallig,bilious,坏脾气的,ADJ,Advanced
tystna,fall silent,沉默下来,VERB,B1
himmelsfärd,ascension,升天,NOUN,B2
kran,tap,水龙头,NOUN,A2
diminutiv,diminutive,指小词,NOUN,Advanced
formulering,formulation,阐述,NOUN,B2
underförstått,implicitly,含蓄地,ADV,B2
bjuda gäster,treat guests,请客,VERB,A2
skada,detriment,损害,NOUN,Advanced
enfaldig,feeble-minded,低能的,ADJ,Advanced
minska,narrow,变窄,VERB,B1
trångsynt,narrow-minded,狭隘的,ADJ,B2
så länge som,as long as,只要,CCONJ,B1
matlagning,cooking,烹饪,NOUN,A1
frivol,frivolous,轻浮的,ADJ,B2
allmänläkare,general practitioner,全科医生,NOUN,B1
idiosynkrasi,idiosyncrasy,特质,NOUN,Advanced
fördriva,oust,驱逐,VERB,B2
åtrå,covet,觊觎,VERB,Advanced
omringa,encircle,包围,VERB,B2
långvarig,long-lasting,持久的,ADJ,B2
taktlöshet,indiscretion,轻率,NOUN,B2
global,global,全球的,ADJ,B1
nihilism,nihilism,虚无主义,NOUN,Advanced
fastighet,real estate,房地产,NOUN,B1
vertikal,vertical,垂直的,ADJ,B2
flytande,floating,漂浮的,ADJ,A2
skändlighet,infamy,恶名,NOUN,Advanced
åskväder,thunderstorm,雷雨,NOUN,A2
kosmopolitisk,cosmopolitan,国际化的,ADJ,B2
universell,universal,普遍的,ADJ,B2
filolog,philologist,文献学者,NOUN,Advanced
egenföretagare,self-employed person,个体经营者,NOUN,B1
generisk,generic,通用的,ADJ,B2
monark,monarch,君主,NOUN,B2
årgång,vintage,佳酿年份,NOUN,B2
impotens,impotence,无能,NOUN,B2
oregelbundenhet,irregularity,无规律,NOUN,B2
ineffektivitet,inefficiency,无效率,NOUN,B2
otillräcklighet,insufficiency,不足,NOUN,B2
missförhållande,disproportion,不成比例,NOUN,B2
ändra,alter,改变,VERB,B2
okänslig,insensitive,不敏感的,ADJ,B2
friktionsfri,frictionless,无摩擦的,ADJ,B2
projicera,project,投影,VERB,B2
slumpmässig,contingent,附带的,ADJ,Advanced
bekräfta,corroborate,证实,VERB,Advanced
avsättning,deposition,罢免,NOUN,B2
vrida ur,wring,拧干,VERB,B2
storslagenhet,grandiosity,宏伟,NOUN,Advanced
tillfällig,fortuitous,偶然的,ADJ,Advanced
cigarettfimp,cigarette butt,烟头,NOUN,A2
kontraproduktiv,counterproductive,适得其反的,ADJ,B2
i följd,consecutively,连续地,ADV,B2
särskilt,particularly,特别地,ADV,B1
med flit,on purpose,故意地,ADV,A2
om det,about it,关于它,ADV,A1
titulera,title,赋予头衔,VERB,B2
globalisera,globalize,使全球化,VERB,B2
makroskopisk,macroscopic,肉眼可见的,ADJ,Advanced
aggression,aggression,侵略,NOUN,B2
felbarhet,fallibility,易错性,NOUN,Advanced
helgdagar,holidays,节日,NOUN,A2
allmängiltighet,generality,概括性,NOUN,B2
självlärd,self-taught,自学成才的,ADJ,B2
entropi,entropy,熵,NOUN,Advanced
predikan,homily,讲道,NOUN,Advanced
botande,curative,有疗效的,ADJ,Advanced
patologi,pathology,病理学,NOUN,B2
grafologi,graphology,笔迹学,NOUN,Advanced
etymologi,etymology,词源学,NOUN,B2
symtomlära,symptomatology,症状学,NOUN,Advanced
vokal,vocal,声音的,ADJ,B2
inkräktare,invader,入侵者,NOUN,B2
diffus,diffuse,弥漫的,ADJ,B2
förrädisk,treacherous,奸诈的,ADJ,B2
excentricitet,eccentricity,怪癖,NOUN,Advanced
ingjuta,instill,灌输,VERB,Advanced
kolerisk,choleric,暴躁的,ADJ,Advanced
tabbe,blunder,大错,NOUN,B2
kallbrand,gangrene,坏疽,NOUN,Advanced
obegränsad,unlimited,无限的,ADJ,B1
villkorslös,unconditional,无条件的,ADJ,B2
osammanhängande,incoherent,语无伦次的,ADJ,B2
inkompetent,incompetent,不称职的,ADJ,B2
olaglig,illicit,非法的,ADJ,B2
huva,hood,兜帽,NOUN,A2
lyrisk,lyrical,抒情的,ADJ,B2
index,index,索引,NOUN,B1
indexering,indexing,索引编制,NOUN,B2
ögonblick,instant,瞬间,NOUN,B1
dokumentär,documentary,纪录片,NOUN,B1
fascism,fascism,法西斯主义,NOUN,B2
skandalös,scandalous,令人震惊的,ADJ,B2
laps,lapse,小错,NOUN,B2
byte,prey,猎物,NOUN,B1
fregatt,frigate,护卫舰,NOUN,B2
fördärv,depravity,堕落,NOUN,Advanced
kommentera,gloss,注释,VERB,B2
detaljera,detail,详述,VERB,B2
prioritera,prioritize,优先处理,VERB,B1
uppenbarhet,flagrancy,明目张胆,NOUN,Advanced
jurist,jurist,法律专家,NOUN,B1
filosofisk,philosophical,哲学的,ADJ,B2
vältalighet,elocution,演说术,NOUN,Advanced
gastronomi,gastronomy,美食学,NOUN,B2
finsk,finnish,芬兰的,ADJ,A2
ögonblicklig,instantaneous,瞬间的,ADJ,B2
sprudlande,exuberant,热情洋溢的,ADJ,B2
säl,seal,海豹,NOUN,A2
hotellägare,hotelier,旅馆老板,NOUN,B2
fetisch,fetish,恋物,NOUN,B2
försoning,redemption,救赎,NOUN,B2
desertering,desertion,擅离职守,NOUN,B2
farao,pharaoh,法老,NOUN,B1
fysiologisk,physiological,生理学的,ADJ,B2
rättsvetenskap,jurisprudence,法学,NOUN,B2
ovanpå,on top,在上面,ADV,A2
halm,straw,稻草,NOUN,A2
påle,pole,木桩,NOUN,B1
makt,might,威力,NOUN,B1
militärmakt,military power,军事力量,NOUN,B2
kolon,colon,冒号,NOUN,B1
igenkännbar,recognizable,可辨认的,ADJ,B2
ifrågasättbar,contestable,有争议的,ADJ,B2
lättantändlig,flammable,易燃的,ADJ,B2
konvertibel,convertible,可转换的,ADJ,B2
jämförbar,comparable,可比较的,ADJ,B2
gnagare,rodent,啮齿动物,NOUN,B2
magistrat,magistrate,治安官,NOUN,Advanced
kategorisk,categorical,绝对的,ADJ,B2
laglig,lawful,合法的,ADJ,B1
kanonisk,canonical,规范的,ADJ,Advanced
fatalism,fatalism,宿命论,NOUN,Advanced
helga,sanctify,奉献,VERB,B2
snuskig,filthy,污秽的,ADJ,B2
blodsband,consanguinity,血亲,NOUN,Advanced
destillera,distill,蒸馏,VERB,B2
nacke,nape,后颈,NOUN,B1
minimera,minimize,最小化,VERB,B1
lus,louse,虱子,NOUN,B1
fnittra,giggle,吃吃地笑,VERB,B1
skiva,disc,圆盘,NOUN,A2
rysning,shiver,战栗,NOUN,B2
diagonal,diagonal,对角线,NOUN,B2
stridslystnad,combativeness,好斗,NOUN,Advanced
tecknad serie,comic strip,连环画,NOUN,B1
oanständighet,immodesty,放肆,NOUN,Advanced
karikatyrmässig,caricatural,讽刺画般的,ADJ,Advanced
karikatyr,caricature,讽刺画,NOUN,B2
klump,lump,团块,NOUN,B1
metonymi,metonymy,转喻,NOUN,Advanced
kilometer,kilometer,千米,NOUN,A1
som om,as if,好像,ADV,B1
otröstlig,disconsolate,极其伤心的,ADJ,Advanced
katolsk,catholic,天主教的,ADJ,B1
olycksbringande,calamitous,灾难性的,ADJ,Advanced
kardinal,cardinal,红衣主教,NOUN,B2
kondensera,condense,冷凝,VERB,B2
kolhydrat,carbohydrate,碳水化合物,NOUN,B1
förmörka,eclipse,使失色,VERB,B2
avmaskera,unmask,揭露,VERB,B2
betygsbok,report card,成绩单,NOUN,B1
kanadensisk,canadian,加拿大的,ADJ,A2
kiosk,kiosk,报刊亭,NOUN,A1
asteroid,asteroid,小行星,NOUN,B1
munkorg,muzzle,口套,NOUN,B2
oemotståndlig,irresistible,不可抗拒的,ADJ,B2
omotkallelig,irrefutable,无可辩驳的,ADJ,Advanced
asynkron,asynchronous,异步的,ADJ,B2
banderoll,banner,横幅,NOUN,B1
accent,accent,重音,NOUN,B1
omänsklig,inhuman,不人道的,ADJ,B2
overklighet,unreality,非现实,NOUN,B2
otänkbar,inconceivable,难以置信的,ADJ,B2
orimlig,unthinkable,不可思议的,ADJ,B2
latinsk,latin,拉丁语的,ADJ,B1
gymnast,gymnast,体操运动员,NOUN,B1
teologisk,theological,神学的,ADJ,B2
ge smeknamn,nickname,起绰号,VERB,B1
indoktrinera,indoctrinate,灌输,VERB,Advanced
få syn på,spot,发现,VERB,B1
insinuera,insinuate,暗示,VERB,B2
dregel,drool,口水,NOUN,B2
fralla,bread roll,小圆面包,NOUN,A2
duntäcke,duvet,羽绒被,NOUN,B1
lymfa,lymph,淋巴,NOUN,B2
institutionalisering,institutionalization,制度化,NOUN,Advanced
influerare,influencer,网络红人,NOUN,B1
variabel,variable,变量,NOUN,B2
oregelbunden,intermittent,断断续续的,ADJ,B2
svår situation,plight,困境,NOUN,B2
uppgiftslämnare,informant,线人,NOUN,B2
memorandum,memorandum,备忘录,NOUN,Advanced
sparsam,frugal,节俭的,ADJ,B2
sylt,jam,果酱,NOUN,A1
assistans,assistance,协助,NOUN,B1
sensor,sensor,传感器,NOUN,B1
ogenomtränglig,impenetrable,难以穿透的,ADJ,Advanced
charlatan,charlatan,江湖郎中,NOUN,Advanced
beslag,confiscation,充公,NOUN,B2
mild,mild,温和的,ADJ,A2
fånge,detainee,在押人员,NOUN,B2
mineral,mineral,矿物,NOUN,B1
faktum,given,已知前提,NOUN,B2
moral,moral,道德,NOUN,B1
transcendent,transcendent,卓越的,ADJ,Advanced
paradox,paradox,悖论,NOUN,B2
biämne,minor course,辅修课程,NOUN,B2
bonus,bonus,奖金,NOUN,B1
dekadent,decadent,堕落的,ADJ,B2
förebyggande,prevention,预防,NOUN,B2
musikalisk,musical,音乐的,ADJ,B1
metafysik,metaphysics,形而上学,NOUN,Advanced
finans,finance,财政,NOUN,B1
lyckosam,lucky,幸运的,ADJ,A2
robust,robust,健壮的,ADJ,B2
idealisera,idealize,理想化,VERB,B2
metaforisk,metaphorical,隐喻的,ADJ,B2
kommunfullmäktige,city council,市议会,NOUN,B2
smyckesbutik,jewelry store,珠宝店,NOUN,B1
älskad,beloved,深受喜爱的,ADJ,B1
