English_Lemma,English_Lemma,Chinese_Lemma,POS,CEFR
to shame,to shame,使羞愧,VERB,B2
shameless,shameless,无耻的,ADJ,B2
shampoo,shampoo,洗发水,NOUN,B2
to shape,to shape,塑造,VERB,B2
shareholder,shareholder,股东,NOUN,B2
to shave,to shave,剃,VERB,B2
she,she,可她,NOUN,B2
shh,shh,嘘,INTJ,B2
shift,shift,轮班,NOUN,B2
shine,shine,光泽,NOUN,B2
to ship out,to ship out,出货,VERB,B2
shipyard,shipyard,造船厂,NOUN,B2
to shock,to shock,震惊,VERB,B2
shoe removal,shoe removal,鞋脱,NOUN,B2
shoes,shoes,鞋子,NOUN,B2
to shoot down,to shoot down,击落,VERB,B2
shooting,shooting,射击,NOUN,B2
shooting star,shooting star,流星,NOUN,B2
to shop,to shop,购物,VERB,B2
shopping center,shopping center,购物中心,NOUN,B2
shopping mall,shopping mall,商场,NOUN,B2
short-term,short-term,短期的,ADJ,B2
to shorten,to shorten,缩短,VERB,B2
to shout,to shout,吼叫,VERB,B2
shovel,shovel,铲子,NOUN,B2
show of hands,show of hands,举手,NOUN,B2
to shower,to shower,淋浴,VERB,B2
shrine,shrine,مشعر,NOUN,B2
shudder,shudder,战栗,NOUN,B2
to shut up,to shut up,闭嘴,VERB,B2
shyness,shyness,羞怯,NOUN,B2
siblings,siblings,兄弟姐妹,NOUN,B2
sick leave,sick leave,病假,NOUN,B2
side door,side door,侧门,NOUN,B2
side effect,side effect,副作用,NOUN,B2
siege,siege,围攻,NOUN,B2
to sift,to sift,筛选,VERB,B2
to sigh,to sigh,叹气,VERB,B2
to signal,to signal,示意,VERB,B2
significance,significance,含义,NOUN,B2
to silence,to silence,خرس,VERB,B2
silver,silver,银色,ADJ,B2
simple pure,simple pure,单纯,ADJ,B2
simplicity,simplicity,简单,NOUN,B2
to simplify,to simplify,简化,VERB,B2
simply,simply,简单地,ADV,B2
simultaneous,simultaneous,同时的,ADJ,B2
since,since,以来,PART,B2
since,since,既然,SCONJ,B2
sincerity,sincerity,真诚,NOUN,B2
singing,singing,歌唱,NOUN,B2
singularity,singularity,单一性,NOUN,B2
to sink,to sink,下沉,VERB,B2
to sip,to sip,小口喝,VERB,B2
sister yu,sister yu,俞姐,NOUN,B2
sister-in-law,sister-in-law,嫂子/弟媳/大姑子/小姑子,NOUN,B2
to sit down,to sit down,坐下,VERB,B2
sixth,sixth,第六,ADJ,B2
sixty,sixty,六十,NUM,B2
to skate,to skate,滑冰,VERB,B2
skepticism,skepticism,怀疑主义,NOUN,B2
skiing,skiing,滑雪,NOUN,B2
skillful,skillful,熟练的,ADJ,B2
slanted,slanted,斜,ADJ,B2
to slap,to slap,打耳光,VERB,B2
to slaughter,to slaughter,割喉,VERB,B2
slavery,slavery,奴隶制,NOUN,B2
sleeping pill,sleeping pill,安眠药,NOUN,B2
sleeplessness,sleeplessness,失眠,NOUN,B2
sleeve,sleeve,袖子,NOUN,B2
slightly,slightly,轻微地,ADV,B2
to slow down,to slow down,放慢,VERB,B2
slowness,slowness,缓慢,NOUN,B2
sly,sly,狡猾的,ADJ,B2
slyness,slyness,狡猾,NOUN,B2
smallest,smallest,最小的,ADJ,B2
smallness,smallness,小小,NOUN,B2
to smile,to smile,微笑,VERB,B2
to smooth,to smooth,使光滑,VERB,B2
smooth sailing,smooth sailing,一帆风顺,ADJ,B2
smuggler,smuggler,走私者,NOUN,B2
smuggling,smuggling,走私,NOUN,B2
snack,snack,小吃,NOUN,B2
to sneeze,to sneeze,打喷嚏,VERB,B2
to snore,to snore,打鼾,VERB,B2
snout,snout,口鼻,NOUN,B2
snow lotus,snow lotus,雪莲,NOUN,B2
snowflake,snowflake,雪花,NOUN,B2
so as not to,so as not to,免得,SCONJ,B2
so far,so far,到目前为止,ADV,B2
so much,so much,那么多,DET,B2
so that,so that,以便,SCONJ,B2
to soak,to soak,浸透,VERB,B2
sobbing,sobbing,抽泣,NOUN,B2
sociable,sociable,好交际的,ADJ,B2
social activity,social activity,社会活动,NOUN,B2
social appeal,social appeal,社会呼吁,NOUN,B2
social awakening,social awakening,社会觉醒,NOUN,B2
social awareness,social awareness,社会觉悟,NOUN,B2
social class,social class,社会阶层,NOUN,B2
social compromise,social compromise,社会妥协,NOUN,B2
social custom,social custom,社会习俗,NOUN,B2
social ethos,social ethos,社会风气,NOUN,B2
social fairness,social fairness,社会公平,NOUN,B2
social hierarchy,social hierarchy,社会等级,NOUN,B2
social interaction,social interaction,社会互动,NOUN,B2
social mediation,social mediation,社会调解,NOUN,B2
social morality,social morality,社会公德,NOUN,B2
social movement,social movement,社会运动,NOUN,B2
social order,social order,社会秩序,NOUN,B2
social phenomenon,social phenomenon,社会现象,NOUN,B2
social progress,social progress,社会进步,NOUN,B2
social structure,social structure,社会结构,NOUN,B2
social trust,social trust,社会信任,NOUN,B2
social value,social value,社会价值,NOUN,B2
to socialize,to socialize,交往,VERB,B2
sociologist,sociologist,社会学家,NOUN,B2
to soften,to soften,使灵活,VERB,B2
soldiers,soldiers,官兵,NOUN,B2
sole,sole,鞋底,NOUN,B2
solid,solid,3D模型 / 实体,NOUN,B2
solidarity,solidarity,团结,NOUN,B2
solvent,solvent,溶剂,NOUN,B2
some,some,某些,ADJ,B2
something,something,شي,NOUN,B2
song,song,歌,PART,B2
soot,soot,烟灰,NOUN,B2
sorcery,sorcery,巫术,NOUN,B2
sorry,sorry,抱歉,INTJ,B2
sorting,sorting,分类,NOUN,B2
to sound,to sound,响起,VERB,B2
sound card,sound card,声卡,NOUN,B2
sound sleep,sound sleep,你踏实睡,NOUN,B2
soundness,soundness,好端端,NOUN,B2
sour,sour,酸的,ADJ,B2
south,south,南方,NOUN,B2
southern army,southern army,南军,NOUN,B2
sovereign,sovereign,主权的,ADJ,B2
soy milk,soy milk,豆浆,NOUN,B2
spacious,spacious,宽敞的,ADJ,B2
spanish,spanish,西班牙的,ADJ,B2
spanish,spanish,西班牙语,NOUN,B2
to spare,to spare,节省,VERB,B2
sparrow,sparrow,麻雀,NOUN,B2
speaker,speaker,发言人,NOUN,B2
spear,spear,长矛,NOUN,B2
special-purpose trip,special-purpose trip,专程,ADV,B2
specialization,specialization,专业化,NOUN,B2
specialized,specialized,专业的,ADJ,B2
specification,specification,规格,NOUN,B2
spectacles,spectacles,眼镜,NOUN,B2
spectator,spectator,观众,NOUN,B2
spectrum,spectrum,光谱,NOUN,B2
speculation,speculation,推测,NOUN,B2
speed limit sign,speed limit sign,限速牌,NOUN,B2
spell,spell,咒语,NOUN,B2
spending,spending,行用,NOUN,B2
spinning,spinning,纺纱,NOUN,B2
spiral pattern,spiral pattern,旋纹,NOUN,B2
spirituality,spirituality,灵性,NOUN,B2
spiteful,spiteful,怀恨的,ADJ,B2
splint,splint,夹板,NOUN,B2
sponsorship,sponsorship,赞助,NOUN,B2
sports exercise,sports exercise,运动,NOUN,B2
spouse,spouse,配偶,NOUN,B2
sprain,sprain,扭伤,NOUN,B2
spray,spray,喷雾,NOUN,B2
spread,spread,传播,NOUN,B2
to sprinkle,to sprinkle,撒,VERB,B2
squandering,squandering,挥霍,NOUN,B2
square,square,平方的,ADJ,B2
stability,stability,稳定,NOUN,B2
stable,stable,畜舍,NOUN,B2
stage play,stage play,舞台剧,NOUN,B2
staging,staging,上演,NOUN,B2
to stagnate,to stagnate,停滞,VERB,B2
stagnation,stagnation,停滞,NOUN,B2
stairs,stairs,楼梯,NOUN,B2
stall,stall,包厢座位,NOUN,B2
to stall,to stall,拖延,VERB,B2
to stand out,to stand out,引人注目,VERB,B2
to stand side by side,to stand side by side,并列,VERB,B2
to stand up,to stand up,站起来,VERB,B2
standardization,standardization,标准化,NOUN,B2
star search,star search,找星,NOUN,B2
to state,to state,说明,VERB,B2
state truce,state truce,国罢,NOUN,B2
static,static,静态的,ADJ,B2
statistical,statistical,统计的,ADJ,B2
statistics,statistics,统计学,NOUN,B2
to statistics,to statistics,统计,VERB,B2
stay,stay,停留,NOUN,B2
steal sword,steal sword,盗剑,NOUN,B2
to steam,to steam,蒸,VERB,B2
steering wheel,steering wheel,方向盘,NOUN,B2
stellar,stellar,杰出的,ADJ,B2
stem,stem,茎,NOUN,B2
stenosis,stenosis,狭窄,NOUN,B2
to step,to step,踩,VERB,B2
stepmother,stepmother,后母,NOUN,B2
steps,steps,台阶,NOUN,B2
to stew,to stew,炖,VERB,B2
to stick,to stick,插入,VERB,B2
stiffness,stiffness,僵硬,NOUN,B2
to stigmatize,to stigmatize,污名化,VERB,B2
stimulant,stimulant,兴奋剂,NOUN,B2
to stimulate,to stimulate,激发,VERB,B2
stingy,stingy,吝啬的,ADJ,B2
stir,stir,搅拌,NOUN,B2
stock exchange,stock exchange,证券交易所,NOUN,B2
stock market,stock market,股市,NOUN,B2
to stock up,to stock up,进货,VERB,B2
stone,stone,石,PART,B2
stop,stop,停止,NOUN,B2
storage,storage,收纳,NOUN,B2
to store,to store,储存,VERB,B2
stormy,stormy,有暴风雨的,ADJ,B2
straight,straight,径直地,ADV,B2
to strain,to strain,努力,VERB,B2
strait,strait,海峡,NOUN,B2
strangeness,strangeness,奇怪,NOUN,B2
to strangle,to strangle,扼杀,VERB,B2
strategic,strategic,战略的,ADJ,B2
straw,straw,稻草,NOUN,B2
strawberry,strawberry,草莓,NOUN,B2
to strengthen,to strengthen,加强,VERB,B2
stretch,stretch,伸展,NOUN,B2
stretcher,stretcher,担架,NOUN,B2
to strike,to strike,打击,VERB,B2
to strive,to strive,努力,VERB,B2
to strive for,to strive for,争取,VERB,B2
stroll,stroll,闲逛,NOUN,B2
to stroll,to stroll,散步,VERB,B2
structural,structural,结构的,ADJ,B2
to struggle,to struggle,挣扎,VERB,B2
stuck,stuck,卡住的,ADJ,B2
study,study,研究,NOUN,B2
to study deeply,to study deeply,钻研,VERB,B2
to study to learn,to study to learn,学习,VERB,B2
to stuff,to stuff,填塞,VERB,B2
stuffed crab,stuffed crab,蟹酿,NOUN,B2
to stumble,to stumble,绊倒,VERB,B2
stupidity,stupidity,愚蠢,NOUN,B2
stylish,stylish,雅致的,ADJ,B2
su sha,su sha,我夙砂,NOUN,B2
sub-method,sub-method,分法,NOUN,B2
sub-reality,sub-reality,分实,NOUN,B2
subcategory,subcategory,分目,NOUN,B2
subcontracting,subcontracting,分包,NOUN,B2
subjective,subjective,主观的,ADJ,B2
submission,submission,顺从,NOUN,B2
subscription,subscription,订阅,NOUN,B2
subsistence,subsistence,生计,NOUN,B2
substantiation,substantiation,论证,NOUN,B2
successively,successively,连续地,ADV,B2
successor,successor,继任者,NOUN,B2
such,such,这样的,ADJ,B2
to suck,to suck,吸,VERB,B2
sucking,sucking,嗦,NOUN,B2
sufficient flight,sufficient flight,飞够,NOUN,B2
to suffocate,to suffocate,窒息,VERB,B2
suffocation,suffocation,窒息,NOUN,B2
suicide,suicide,自杀,NOUN,B2
to suit,to suit,适合,VERB,B2
suitability,suitability,适宜性,NOUN,B2
suite,suite,套房,NOUN,B2
sum total,sum total,总而,NOUN,B2
summer grass,summer grass,夏草,NOUN,B2
summons,summons,传票,NOUN,B2
sunday,sunday,星期日,NOUN,B2
sunny,sunny,晴朗的,ADJ,B2
sunshine,sunshine,阳光,NOUN,B2
super-comprehensive,super-comprehensive,超遍,NOUN,B2
super-distinction,super-distinction,超殊,NOUN,B2
super-form,super-form,超形,NOUN,B2
super-number,super-number,超数,NOUN,B2
super-observation,super-observation,超察,NOUN,B2
super-principle,super-principle,超则,NOUN,B2
super-special,super-special,超特,NOUN,B2
superior,superior,上级,NOUN,B2
superstition,superstition,迷信,NOUN,B2
to supplement,to supplement,补充,VERB,B2
supplier,supplier,供应商,NOUN,B2
to supply,to supply,供货,VERB,B2
supply does not meet demand,supply does not meet demand,供不应求,ADJ,B2
support,support,支撑,NOUN,B2
supporter,supporter,支持者,NOUN,B2
suppression,suppression,抑,NOUN,B2
supreme fate,supreme fate,上缘,NOUN,B2
surname,surname,姓氏,NOUN,B2
to surpass,to surpass,超过,VERB,B2
to surprise,to surprise,使惊讶,VERB,B2
surrender,surrender,投降,NOUN,B2
surroundings,surroundings,周围,NOUN,B2
to surveil,to surveil,监视,VERB,B2
surveyor,surveyor,测量员,NOUN,B2
survival of the fittest,survival of the fittest,优胜劣汰,NOUN,B2
susha,susha,夙砂大,NOUN,B2
sustainability,sustainability,可持续性,NOUN,B2
suture,suture,缝合,NOUN,B2
swan,swan,天鹅,NOUN,B2
to sweat,to sweat,出汗,VERB,B2
sweep,sweep,扫,NOUN,B2
to sweeten,to sweeten,使变甜,VERB,B2
sweets,sweets,甜食,NOUN,B2
swimming,swimming,游泳,NOUN,B2
swimming pool,swimming pool,游泳池,NOUN,B2
to swindle,to swindle,诈骗,VERB,B2
sword recognition,sword recognition,认剑,NOUN,B2
sword strike,sword strike,看剑,NOUN,B2
swordsman,swordsman,剑客,NOUN,B2
swordsmanship,swordsmanship,剑术,NOUN,B2
sycophancy,sycophancy,阿谀奉承,NOUN,B2
syllabus,syllabus,教学大纲,NOUN,B2
symbolism,symbolism,象征主义,NOUN,B2
to symbolize,to symbolize,象征,VERB,B2
to sympathize,to sympathize,同情,VERB,B2
symphony,symphony,交响乐,NOUN,B2
symptomatic,symptomatic,症状的,ADJ,B2
synchronization,synchronization,同步,NOUN,B2
synonymy,synonymy,同义关系,NOUN,B2
syntax,syntax,句法,NOUN,B2
synthesis,synthesis,综合,NOUN,B2
systematic,systematic,系统的,ADJ,B2
table grape,table grape,提子,NOUN,B2
taboo,taboo,禁忌,NOUN,B2
tactful,tactful,圆滑的,ADJ,B2
tactics,tactics,战术,NOUN,B2
tactile paving,tactile paving,盲道,NOUN,B2
taekwondo,taekwondo,跆拳道,NOUN,B2
taillight,taillight,尾灯,NOUN,B2
tailor,tailor,裁缝,NOUN,B2
to take along,to take along,带走,VERB,B2
to take away,to take away,拿走,VERB,B2
to take care,to take care,照顾,VERB,B2
to take care of,to take care of,照顾,VERB,B2
to take cuttings,to take cuttings,扦插,VERB,B2
to take off,to take off,起飞,VERB,B2
to take out,to take out,拿出,VERB,B2
to take over,to take over,接管,VERB,B2
to take place,to take place,举行,VERB,B2
to take revenge,to take revenge,报复,VERB,B2
takeoff,takeoff,起飞,NOUN,B2
taking,taking,拍摄,NOUN,B2
taking command,taking command,挂帅,NOUN,B2
to talk,to talk,谈话,VERB,B2
to talk nonsense,to talk nonsense,胡言乱语,VERB,B2
tanner,tanner,制革工,NOUN,B2
tanning,tanning,晒黑,NOUN,B2
targeting,targeting,定位,NOUN,B2
tariff,tariff,费率,NOUN,B2
taro,taro,芋头,NOUN,B2
to taste,to taste,品尝,VERB,B2
tavern,tavern,酒馆,NOUN,B2
to tax,to tax,征税,VERB,B2
tax revenue,tax revenue,税收,NOUN,B2
taxation,taxation,征税,NOUN,B2
teammate,teammate,队友,NOUN,B2
to tear up,to tear up,流泪,VERB,B2
tears,tears,眼泪,NOUN,B2
technical,technical,技术的,ADJ,B2
technician,technician,技术员,NOUN,B2
technological,technological,技术的,ADJ,B2
telegram,telegram,电报,NOUN,B2
teleology,teleology,目的论,NOUN,B2
telephone number,telephone number,电话号码,NOUN,B2
televised,televised,电视播出的,ADJ,B2
temporarily,temporarily,临时地,ADV,B2
tender,tender,嫩的,ADJ,B2
tenderness,tenderness,柔情,NOUN,B2
tendon,tendon,肌腱,NOUN,B2
tennis,tennis,网球,NOUN,B2
tense,tense,紧张的,ADJ,B2
termination,termination,解除,NOUN,B2
terminological,terminological,术语的,ADJ,B2
terrorist,terrorist,恐怖分子,NOUN,B2
to test,to test,测试,VERB,B2
testicle,testicle,睾丸,NOUN,B2
text message,text message,短信,NOUN,B2
textile,textile,纺织,NOUN,B2
textual,textual,文本的,ADJ,B2
to thank,to thank,感谢,VERB,B2
thank you,thank you,谢谢,INTJ,B2
thanks,thanks,谢谢,INTJ,B2
thanks to,thanks to,多亏,ADP,B2
that,that,那个,DET,B2
that,that,（引导从句）,SCONJ,B2
that evening,that evening,当晚,NOUN,B2
that is to say,that is to say,也就是说,SCONJ,B2
that nephew,that nephew,那侄儿,NOUN,B2
that which,that which,所,PART,B2
to thaw,to thaw,解冻,VERB,B2
the north pole,the north pole,北极,NOUN,B2
the rest,the rest,其余,NOUN,B2
then he,then he,那他,NOUN,B2
theoretical,theoretical,理论的,ADJ,B2
theoretically,theoretically,理论上,ADV,B2
there,there,那儿,NOUN,B2
therefore,therefore,所以,SCONJ,B2
thereupon,thereupon,随后,ADV,B2
these,these,这些,DET,B2
thesis,thesis,论文,NOUN,B2
thickness,thickness,厚度,NOUN,B2
thigh,thigh,大腿,NOUN,B2
to think to want,to think to want,想,VERB,B2
thinking,thinking,思维,NOUN,B2
third,third,三分之一,NOUN,B2
third place,third place,季军,NOUN,B2
thirteen,thirteen,十三,NUM,B2
thirty,thirty,三十,NUM,B2
this,this,这个,DET,B2
this indeed,this indeed,这倒,NOUN,B2
this matter,this matter,这事,NOUN,B2
this way,this way,这样,PRON,B2
thorn,thorn,刺,NOUN,B2
thoroughness,thoroughness,彻底,NOUN,B2
those,those,那些,DET,B2
thoughtful,thoughtful,体贴的,ADJ,B2
thousand,thousand,千,NUM,B2
three-d printing,three-d printing,3D打印,NOUN,B2
to thresh,to thresh,脱粒,VERB,B2
thrifty,thrifty,节俭的,ADJ,B2
to thrive,to thrive,茁壮成长,VERB,B2
throw,throw,投掷,NOUN,B2
thundershower,thundershower,雷阵雨,NOUN,B2
thursday,thursday,星期四,NOUN,B2
to tidy up,to tidy up,整理,VERB,B2
to tie,to tie,联结,VERB,B2
tie mansion,tie mansion,铁府,NOUN,B2
tiger,tiger,老虎,NOUN,B2
to tighten,to tighten,紧握/收紧,VERB,B2
tile,tile,瓦片,NOUN,B2
timing,timing,时机,NOUN,B2
tingling,tingling,麻木感,NOUN,B2
tire,tire,轮胎,NOUN,B2
tiredness,tiredness,疲劳,NOUN,B2
tissue,tissue,组织,NOUN,B2
toast,toast,你敬酒,NOUN,B2
today,today,今天,NOUN,B2
tofu,tofu,豆腐,NOUN,B2
together,together,共同的,ADJ,B2
toil,toil,苦工,NOUN,B2
tolerance,tolerance,宽容,NOUN,B2
tomorrow,tomorrow,غد,NOUN,B2
tonight,tonight,今晚,NOUN,B2
too big,too big,太大,ADJ,B2
too small,too small,太小,ADJ,B2
tools,tools,工具,NOUN,B2
to torture,to torture,折磨,VERB,B2
total,total,完全的,ADJ,B2
touch,touch,接触,NOUN,B2
touchability,touchability,能触摸,NOUN,B2
tough,tough,艰难的,ADJ,B2
tourism,tourism,旅游业,NOUN,B2
touristic,touristic,旅游的,ADJ,B2
town mayor,town mayor,镇长,NOUN,B2
township road,township road,乡道,NOUN,B2
to track,to track,追踪,VERB,B2
trade union,trade union,工会,NOUN,B2
traditional chinese painting,traditional chinese painting,国画,NOUN,B2
traffic jam,traffic jam,交通堵塞,NOUN,B2
traffic light,traffic light,红绿灯,NOUN,B2
trailer,trailer,预告片,NOUN,B2
train of thought,train of thought,思路,NOUN,B2
train station,train station,火车站,NOUN,B2
to trample,to trample,踩踏,VERB,B2
trans-er,trans-er,超而,NOUN,B2
trans-idealism,trans-idealism,超唯,NOUN,B2
trans-induction,trans-induction,超归,NOUN,B2
transaction,transaction,交易,NOUN,B2
transcendence,transcendence,超越,NOUN,B2
transcendental,transcendental,先验的,ADJ,B2
to transfer,to transfer,转移,VERB,B2
to transfer schools,to transfer schools,转学,VERB,B2
transformation,transformation,تحول,NOUN,B2
transitional,transitional,过渡的,ADJ,B2
translator,translator,译者,NOUN,B2
transmission,transmission,传输,NOUN,B2
transmission to you,transmission to you,传你,NOUN,B2
transmitter,transmitter,发射台,NOUN,B2
transparency,transparency,透明度,NOUN,B2
to transport,to transport,运输,VERB,B2
travel,travel,出行,NOUN,B2
traveler,traveler,旅行家,NOUN,B2
tray,tray,托盘,NOUN,B2
treacherousness,treacherousness,阴险,NOUN,B2
treachery,treachery,背叛,NOUN,B2
treasury,treasury,国库,NOUN,B2
to treat wound,to treat wound,治伤,VERB,B2
to tremble,to tremble,颤抖,VERB,B2
trend,trend,趋势,NOUN,B2
triangle,triangle,三角形,NOUN,B2
tributary,tributary,支流,NOUN,B2
triviality,triviality,琐碎,NOUN,B2
trivialization,trivialization,浅薄化,NOUN,B2
troop,troop,部队,NOUN,B2
troops,troops,部队,NOUN,B2
troublesome,troublesome,麻烦的,ADJ,B2
truce,truce,休战,NOUN,B2
trumpet,trumpet,小号,NOUN,B2
trust,trust,信托,NOUN,B2
to try hard to,to try hard to,力图,VERB,B2
tube,tube,أنبوب,NOUN,B2
tuesday,tuesday,星期二,NOUN,B2
turn,turn,转弯,NOUN,B2
to turn around,to turn around,转身,VERB,B2
to turn off,to turn off,关闭,VERB,B2
to turn out,to turn out,结果是,VERB,B2
turning point,turning point,转折点,NOUN,B2
turnout,turnout,出席率,NOUN,B2
turnover,turnover,营业额,NOUN,B2
twenty,twenty,二十,NUM,B2
twisted,twisted,扭曲的,ADJ,B2
two animals,two animals,两只,NUM,B2
two people,two people,两名,NUM,B2
two polite,two polite,两位,NUM,B2
two sons,two sons,儿俩,NOUN,B2
ugliness,ugliness,丑陋,NOUN,B2
ulceration,ulceration,溃疡,NOUN,B2
um,um,嗯,INTJ,B2
unacceptable,unacceptable,不可接受的,ADJ,B2
unattainable,unattainable,难以获得的,ADJ,B2
uncontrollable,uncontrollable,无法控制的,ADJ,B2
to uncover,to uncover,揭露,VERB,B2
undeniable,undeniable,不可否认的,ADJ,B2
undercover agent,undercover agent,卧底,NOUN,B2
underground,underground,地铁,NOUN,B2
underneath,underneath,在下面,ADV,B2
underpants,underpants,内裤,NOUN,B2
underwear,underwear,内衣,NOUN,B2
unease,unease,不安,NOUN,B2
unemployed,unemployed,失业的,ADJ,B2
unequal,unequal,不平等的,ADJ,B2
unexpectedly,unexpectedly,出乎意料地,ADV,B2
unified examination,unified examination,统考,NOUN,B2
unimaginable,unimaginable,难以想象的,ADJ,B2
unimportant,unimportant,不重要的,ADJ,B2
unionism,unionism,工会主义,NOUN,B2
uniqueness,uniqueness,独特,NOUN,B2
to unite,to unite,联合,VERB,B2
united,united,联合的,ADJ,B2
unity,unity,团结,NOUN,B2
universality,universality,普遍性,NOUN,B2
unknown,unknown,未知数,NOUN,B2
unlucky,unlucky,倒霉的,ADJ,B2
to unpack,to unpack,拆包,VERB,B2
unpredictable,unpredictable,不可预测的,ADJ,B2
unreasonable,unreasonable,不合理的,ADJ,B2
unreasonable,unreasonable,不情,NOUN,B2
unrest,unrest,动荡,NOUN,B2
unsolved case,unsolved case,疑案,NOUN,B2
unstoppable,unstoppable,不可阻挡,ADJ,B2
to untie,to untie,解开,VERB,B2
until,until,直到,ADP,B2
unwinnable,unwinnable,打不赢,NOUN,B2
upbringing,upbringing,教养,NOUN,B2
upcoming,upcoming,مقبل,ADJ,B2
upper,upper,上面的,ADJ,B2
upper part,upper part,上部,NOUN,B2
uproar,uproar,骚动,NOUN,B2
uprooting,uprooting,背井离乡,NOUN,B2
to upset,to upset,使生气,VERB,B2
urbanity,urbanity,都市风度,NOUN,B2
urbanization,urbanization,城市化,NOUN,B2
urgency,urgency,紧急,NOUN,B2
us,us,你我,NOUN,B2
usable,usable,可用的,ADJ,B2
usb flash drive,usb flash drive,U盘,NOUN,B2
use,use,使用,NOUN,B2
to use a wheelchair,to use a wheelchair,坐轮椅,VERB,B2
user,user,用户,NOUN,B2
usufruct,usufruct,用益权,NOUN,B2
utilitarianism,utilitarianism,功利主义,NOUN,B2
utmost,utmost,你尽,NOUN,B2
utterance,utterance,话语,NOUN,B2
vacancy,vacancy,空缺,NOUN,B2
vaccination,vaccination,疫苗接种,NOUN,B2
vaccine,vaccine,疫苗,NOUN,B2
vague,vague,含糊的,ADJ,B2
validity,validity,有效期,NOUN,B2
valuation,valuation,估值,NOUN,B2
value change,value change,改值,NOUN,B2
variable,variable,变量,NOUN,B2
vegetable garden,vegetable garden,果园,NOUN,B2
ventilation,ventilation,通风,NOUN,B2
vermin,vermin,害兽,NOUN,B2
very deep,very deep,很深,ADJ,B2
very much,very much,万分,ADV,B2
vibration,vibration,振动,NOUN,B2
vice,vice,恶习,NOUN,B2
vice versa,vice versa,反之亦然,ADV,B2
vicinity,vicinity,附近,NOUN,B2
vine,vine,藤蔓,NOUN,B2
vinegar,vinegar,醋,NOUN,B2
to violate discipline,to violate discipline,违纪,VERB,B2
violation,violation,侵越,NOUN,B2
violin,violin,小提琴,NOUN,B2
virtual reality,virtual reality,虚拟现实,NOUN,B2
visa,visa,签证,NOUN,B2
visibility,visibility,能见度,NOUN,B2
visit,visit,拜访,NOUN,B2
visitor,visitor,访客,NOUN,B2
vital point,vital point,要害,NOUN,B2
void,void,最无,NOUN,B2
voluntarily,voluntarily,自愿地,ADV,B2
volunteering,volunteering,志愿服务,NOUN,B2
to vote,to vote,表决,VERB,B2
voter,voter,选民,NOUN,B2
voting,voting,投票,NOUN,B2
voucher,voucher,代金券,NOUN,B2
vulgar,vulgar,粗俗的,ADJ,B2
vulgarity,vulgarity,粗俗,NOUN,B2
to wage war,to wage war,作战,VERB,B2
wages,wages,工资,NOUN,B2
waist token,waist token,腰牌,NOUN,B2
wait,wait,等待,NOUN,B2
to wait long,to wait long,久等,VERB,B2
waiter attendant,waiter attendant,服务员,NOUN,B2
to wake,to wake,唤醒,VERB,B2
to wake up,to wake up,叫醒,VERB,B2
to walk,to walk,走,VERB,B2
wandering,wandering,漫游,NOUN,B2
want,want,想,AUX,B2
wanted,wanted,故意的,ADJ,B2
to wanted,to wanted,通缉,VERB,B2
wanting you,wanting you,要你,NOUN,B2
war cessation,war cessation,战息,NOUN,B2
warming,warming,变暖,NOUN,B2
warmth,warmth,温暖,NOUN,B2
to wash and iron,to wash and iron,洗熨,VERB,B2
to wash with water,to wash with water,水洗,VERB,B2
washing,washing,洗涤,NOUN,B2
washing machine,washing machine,洗衣机,NOUN,B2
to waste,to waste,浪费,VERB,B2
wasteful,wasteful,浪费的,ADJ,B2
wasteland,wasteland,荒地,NOUN,B2
watch,watch,手表,NOUN,B2
to water,to water,浇水,VERB,B2
water spinach,water spinach,空心菜,NOUN,B2
watercolor,watercolor,水彩画,NOUN,B2
waterfall,waterfall,瀑布,NOUN,B2
watermelon,watermelon,西瓜,NOUN,B2
waterproof,waterproof,防水的,ADJ,B2
to wave,to wave,挥手,VERB,B2
way out,way out,出路,NOUN,B2
to weaken,to weaken,削弱,VERB,B2
weaning,weaning,断奶,NOUN,B2
weaving,weaving,编织,NOUN,B2
webcam,webcam,网络摄像头,NOUN,B2
website,website,网站,NOUN,B2
wedding anniversary,wedding anniversary,结婚纪念日,NOUN,B2
wedding photo,wedding photo,婚纱照,NOUN,B2
wednesday,wednesday,星期三,NOUN,B2
weekly,weekly,周刊,NOUN,B2
welcome,welcome,受欢迎的,ADJ,B2
welding,welding,焊接,NOUN,B2
well,well,好吧,INTJ,B2
well,well,井,NOUN,B2
well-being,well-being,健康,NOUN,B2
well-considered,well-considered,深思熟虑的,ADJ,B2
well-fitting of clothes,well-fitting of clothes,合身,NOUN,B2
west,west,西方,NOUN,B2
westward,westward,往西,NOUN,B2
what extent,what extent,在何种程度上,ADV,B2
wheat,wheat,小麦,NOUN,B2
wheelchair,wheelchair,轮椅,NOUN,B2
when,when,当...时,SCONJ,B2
when the time comes,when the time comes,到时候,ADV,B2
whereby,whereby,其中,ADV,B2
which,which,哪个,DET,B2
which one,which one,哪一个,PRON,B2
which seat,which seat,哪座,NOUN,B2
while,while,一会儿,NOUN,B2
to whimper,to whimper,呜咽,VERB,B2
to whine,to whine,哀叹,VERB,B2
whirlwind,whirlwind,旋风；漩涡,NOUN,B2
whisper,whisper,低语,NOUN,B2
to whistle,to whistle,吹口哨,VERB,B2
