Dutch_Lemma,English_Lemma,Chinese_Lemma,POS,CEFR
telegram,telegram,电报,NOUN,B1
morgen,tomorrow,明天,NOUN,A1
plastic,plastic,塑料,NOUN,A1
prominent,prominent,卓越的,ADJ,B2
kuit schieten,spawn,产卵,VERB,B2
regelmatig,regularly,定期地,ADV,A2
matroos,sailor,水手,NOUN,A2
maritiem,marine,海洋的,ADJ,B2
in plaats daarvan,instead,反而,ADV,B1
nomade,nomad,游牧者,NOUN,B2
verdwijnen,dissipate,消散,VERB,B2
wildernis,wilderness,荒野,NOUN,B2
software,software,软件,NOUN,A2
tuinieren,gardening,园艺,NOUN,A2
gelaatskleur,complexion,肤色,NOUN,B2
onderscheidingsvermogen,discernment,洞察力,NOUN,Advanced
afdruk,imprint,印痕,NOUN,B2
pyjama,pajamas,睡衣,NOUN,A1
ertussen,in between,在中间,ADV,B1
zwaar,heavily,沉重地,ADV,B1
wijs,wisely,明智地,ADV,B1
ernstig,gravely,严重地,ADV,B2
nauwkeurig,precisely,精确地,ADV,B1
nauwgezet,scrupulously,一丝不苟地,ADV,Advanced
gulle,generously,慷慨地,ADV,B1
beslist,decidedly,果断地,ADV,B2
opmerkelijk,remarkably,显著地,ADV,B2
expliciet,explicitly,明确地,ADV,B2
effectief,effectively,有效地,ADV,B1
vertragen,slow down,减速,VERB,B1
uithoudingsvermogen,endurance,耐力,NOUN,B2
planning,planning,规划,NOUN,B1
souvenir,souvenir,纪念品,NOUN,A2
vergulden,gild,镀金,VERB,B2
doorvoer,transit,过境,NOUN,B2
refrein,refrain,副歌,NOUN,B1
loodgieterij,plumbing,水管工程,NOUN,B2
skiën,skiing,滑雪,NOUN,A2
oorzakelijkheid,causation,因果关系,NOUN,Advanced
ontslag,layoff,解雇,NOUN,B2
marketing,marketing,市场营销,NOUN,B1
pedanterie,pedantry,卖弄学问,NOUN,Advanced
pluralisme,pluralism,多元主义,NOUN,B2
amulet,amulet,护身符,NOUN,B2
toenadering,rapprochement,和解,NOUN,B2
volledig,entirely,完全地,ADV,B1
verstedelijking,urbanization,城市化,NOUN,B2
ontduiking,evasion,逃避,NOUN,B2
waarschuwing,alert,警报,NOUN,B1
intonatie,intonation,语调,NOUN,B2
timing,timing,时机,NOUN,B1
beramen,plot,密谋,VERB,B2
ontroerd zijn,be moved,受感动,VERB,B1
moratorium,moratorium,暂停,NOUN,Advanced
uiteenlopen,diverge,分歧,VERB,B2
opschepperij,bragging,吹嘘,NOUN,B2
bekeringsdrang,proselytism,劝诱改宗,NOUN,Advanced
stabilisatie,stabilization,稳定,NOUN,B2
overschrijden,overstep,逾越,VERB,B2
spioneren,spy,窥探,VERB,B1
cosmetisch,cosmetic,美容的,ADJ,B2
holte,cavity,腔,NOUN,B2
crashen,crash,坠毁,VERB,B1
specifiek,specifically,具体地,ADV,B1
zich bemoeien,meddle,干涉,VERB,B2
instroom,influx,涌入,NOUN,B2
aarzelen,dither,犹豫不决,VERB,B2
bezoeken,frequent,常去,VERB,B2
afbakening,demarcation,划界,NOUN,B2
vervalsing,counterfeiting,伪造,NOUN,B2
decoratief,decorative,装饰性的,ADJ,B1
laksheid,laxity,松懈,NOUN,Advanced
klit,tangle,纠结,NOUN,B2
hypertrofie,hypertrophy,肥大,NOUN,Advanced
versterking,amplification,放大,NOUN,B2
medelijden,commiseration,同情,NOUN,B2
neerbuigendheid,condescension,居高临下,NOUN,Advanced
reismoeheid,travel fatigue,旅行劳顿,NOUN,B2
beloven,pledge,保证,VERB,B2
didactisch,didactic,教学的,ADJ,B2
educatief,educational,教育的,ADJ,B1
schadevergoeding,damages,赔偿金,NOUN,B2
superioriteit,superiority,优越性,NOUN,B2
lotgevallen,vicissitude,变迁,NOUN,Advanced
zuinigheid,parsimony,吝啬,NOUN,Advanced
beperking,restriction,限制,NOUN,B2
formaat,format,格式,NOUN,B1
zuivering,purification,净化,NOUN,B2
zwellen,swell,膨胀,VERB,B2
bemiddelen,intercede,调解,VERB,Advanced
inroepen,invoke,援引,VERB,B2
tussenstop,stopover,中途停留,NOUN,B1
soberheid,frugality,节俭,NOUN,B2
verzoenend,conciliatory,安抚的,ADJ,Advanced
technisch,technically,技术上,ADV,B1
televisie,tv,电视,NOUN,A1
drievoudig,triple,三倍的,ADJ,B1
dronkenschap,drunkenness,醉酒,NOUN,B2
rijk,wealthy,富有的,ADJ,A2
blaten,bleat,咩咩叫,VERB,B2
doorzeven,riddle,打满洞,VERB,Advanced
kroonluchter,chandelier,枝形吊灯,NOUN,B2
facet,facet,方面,NOUN,B2
planning,scheduling,排程,NOUN,B2
tractor,tractor,拖拉机,NOUN,A2
prijs,prize,奖项,NOUN,A2
watje,wimp,懦夫,NOUN,B2
fysiek,physically,身体上,ADV,B1
oppas,babysitter,保姆,NOUN,A2
groeperen,group,分组,VERB,B1
graf-,funereal,阴郁的,ADJ,Advanced
opzijzetten,set aside,搁置,VERB,B2
embryo,embryo,胚胎,NOUN,B2
intrinsiek,intrinsic,内在的,ADJ,B2
overdosis,overdose,过量用药,NOUN,B2
gedeeltelijk,partial,部分的,ADJ,B1
nieuwigheid,novelty,新奇事物,NOUN,B2
torso,torso,躯干,NOUN,B2
homonymie,homonymy,同音异义,NOUN,Advanced
seksueel,sexually,性方面,ADV,B2
afstandsbediening,remote control,遥控器,NOUN,A2
ploegen,plowing,耕作,NOUN,B2
u,you polite,您,PRON,A1
lava,lava,熔岩,NOUN,B1
grenzen aan,border,接壤,VERB,B1
prikkel,stimulus,刺激,NOUN,B2
zich verenigen,ally,结盟,VERB,B2
houder,holder,持有者,NOUN,B1
beursstudent,scholarship holder,奖学金获得者,NOUN,B2
vuursteen,flint,燧石,NOUN,B2
redeneren,discourse,演说,VERB,B2
gapen,gape,张口注视,VERB,B2
bezonnen,circumspect,审慎的,ADJ,Advanced
beletselteken,ellipsis,省略号,NOUN,Advanced
bevrijden,free,释放,VERB,B1
vastklemmen,wedge,楔入,VERB,B2
kinderdagverblijf,daycare,托儿所,NOUN,B1
voorrecht,prerogative,特权,NOUN,B2
onnozelheid,fatuity,愚昧,NOUN,Advanced
privéleven,private life,私生活,NOUN,B1
sperma,sperm,精子,NOUN,B2
tegenargument,counterargument,反驳论点,NOUN,B2
gerontocratie,gerontocracy,老人统治,NOUN,Advanced
prul,trinket,廉价小饰品,NOUN,B2
server,server,服务器,NOUN,B1
stuwmeer,reservoir,水库,NOUN,B2
onrecht,wrong,错误,NOUN,B1
ontrouw,unfaithful,不忠的,ADJ,B2
onsterfelijk,immortal,不朽的,ADJ,B2
verdoven,numb,使麻木,VERB,B2
poep,shit,大便,NOUN,A2
troosteloosheid,desolation,凄凉,NOUN,B2
reisplan,itinerary,行程,NOUN,B1
verlichten,lighten,减轻,VERB,B2
devaluatie,devaluation,贬值,NOUN,B2
vermoeden,conjecture,推测,VERB,B2
vijftien,fifteen,十五,NUM,A1
fantasierijk,imaginative,富有想象力的,ADJ,B1
verloving,betrothal,订婚,NOUN,B2
vod,rag,破布,NOUN,B2
heimelijkheid,stealth,隐秘,NOUN,B2
aangeboren,congenital,先天的,ADJ,B2
ontrouw,infidelity,不忠,NOUN,B2
nasynchronisatie,dubbing,配音,NOUN,B2
semantiek,semantics,语义学,NOUN,Advanced
knuffel,plush toy,毛绒玩具,NOUN,A2
demagogie,demagoguery,煽动,NOUN,Advanced
dynamiet,dynamite,炸药,NOUN,B1
dichtbundel,poetry collection,诗集,NOUN,B2
onvermoeibaar,tireless,不知疲倦的,ADJ,B2
belastingbetaler,taxpayer,纳税人,NOUN,B2
zonnebloem,sunflower,向日葵,NOUN,A2
patrouille,patrol,巡逻,NOUN,B2
hertogin,duchess,公爵夫人,NOUN,B2
verdedigend,defensive,防御性的,ADJ,B2
dictator,dictator,独裁者,NOUN,B2
kalkoen,turkey,火鸡,NOUN,A2
relevant,relevant,相关的,ADJ,B1
verwelken,wilt,枯萎,VERB,B2
het,the it,它,DET,A1
routine,routine,常规,NOUN,B1
speelkameraad,playmate,玩伴,NOUN,B1
lapje,patch,补丁,NOUN,B2
symboliek,symbolism,象征主义,NOUN,B2
bloei,boom,繁荣,NOUN,B2
robot,robot,机器人,NOUN,A2
geur,fragrance,香味,NOUN,B1
clementie,clemency,仁慈,NOUN,Advanced
emblematisch,emblematic,象征性的,ADJ,B2
irrigeren,irrigate,灌溉,VERB,B2
ontzetten,appal,使惊骇,VERB,B2
chip,chip,芯片,NOUN,A2
extra,extra,额外的,ADJ,A2
versiering,ornament,装饰品,NOUN,B1
aankomen,gain weight,增重,VERB,A2
inplanten,implant,植入,VERB,B2
stamhoofd,chieftain,酋长,NOUN,B2
windvlaag,squall,飑,NOUN,B2
vervalsen,fake,伪造,VERB,B1
uniform,uniform,制服,NOUN,A2
doodsoorzaak,cause of death,死因,NOUN,B2
gevangenis,jail,监狱,NOUN,A2
semester,semester,学期,NOUN,A2
geheim,secret,秘密的,ADJ,A2
plundering,plunder,抢劫,NOUN,B2
stekker,plug,插头,NOUN,A2
afstammeling,descendant,后裔,NOUN,B2
jaren,years,岁月,NOUN,A1
ander,other,其他,NOUN,A1
tovenaar,sorcerer,巫师,NOUN,B1
roerloos,motionless,一动不动的,ADJ,B2
ongedeerd,unharmed,未受伤害的,ADJ,B2
achteruitrijden,back up,倒车,VERB,A2
lichtgelovigheid,credulity,轻信,NOUN,Advanced
casuïstiek,casuistry,诡辩,NOUN,Advanced
bewapenen,arm,武装,VERB,B2
spijkeren,nail,钉钉子,VERB,B1
stutten,prop up,支撑,VERB,B2
zullen,will shall,将要,AUX,A1
lager,lower,更低的,ADJ,A2
Zweeds,swedish,瑞典语,NOUN,A2
vloerkleed,carpet rug,地毯,NOUN,A2
cent,cent,分,NOUN,A1
centimeter,centimeter,厘米,NOUN,A1
haag,hedge,树篱,NOUN,B1
sigaar,cigar,雪茄,NOUN,A2
politiek gezien,politically,政治上,ADV,B2
scooter,scooter,踏板车,NOUN,A2
plak,slice,薄片,NOUN,A2
leus,slogan,口号,NOUN,B1
migraine,migraine,偏头痛,NOUN,B2
rooster,grid,网格,NOUN,B1
geil,horny,好色的,ADJ,B2
winters,wintry,冬天的,ADJ,B1
laden,load charge,装载,VERB,A2
waardigheidsbekleder,dignitary,显要人物,NOUN,Advanced
mede-eigenaar,co-owner,共同所有人,NOUN,B2
spoelen,rinse,冲洗,VERB,A2
pruik,wig,假发,NOUN,B1
hekserij,witchcraft,巫术,NOUN,B2
ophanging,hanging,绞刑,NOUN,B2
duivels,diabolical,恶魔般的,ADJ,B2
galant,gallant,殷勤的,ADJ,B2
politieagent,policeman,警察,NOUN,A1
embleem,emblem,象征,NOUN,B2
wapenschild,coat of arms,纹章,NOUN,B2
deal,deal,交易,NOUN,A2
sandaal,sandal,凉鞋,NOUN,A2
neerslaan,strike down,击倒,VERB,B2
kraken,creak,吱吱作响,VERB,B1
slaan,slap,拍打,VERB,A2
prikkelbaar,bilious,坏脾气的,ADJ,Advanced
stilvallen,fall silent,沉默下来,VERB,B2
akoestiek,acoustics,声学,NOUN,B2
verwoording,wording,措辞,NOUN,B2
compressor,compressor,压缩机,NOUN,B2
impliciet,implicitly,含蓄地,ADV,B2
trakteren,treat guests,请客,VERB,A2
nadeel,detriment,损害,NOUN,B2
vernauwen,narrow,变窄,VERB,B2
koken,cooking,烹饪,NOUN,A1
frivool,frivolous,轻浮的,ADJ,B2
aardlaag,stratum,地层,NOUN,B2
idiosyncrasie,idiosyncrasy,特质,NOUN,Advanced
verdrijven,oust,驱逐,VERB,B2
begeerte hebben naar,covet,觊觎,VERB,Advanced
omsingelen,encircle,包围,VERB,B2
onbescheidenheid,indiscretion,轻率,NOUN,B2
aanbidden,worship,崇拜,VERB,B1
nihilisme,nihilism,虚无主义,NOUN,B2
symptoom,symptom,症状,NOUN,B1
drijvend,floating,漂浮的,ADJ,B1
schande,infamy,恶名,NOUN,Advanced
onweer,thunderstorm,雷暴,NOUN,A2
kosmopolitisch,cosmopolitan,世界主义的,ADJ,B2
filoloog,philologist,文献学家,NOUN,Advanced
generiek,generic,通用的,ADJ,B2
monarch,monarch,君主,NOUN,B2
jaarclassificatie,vintage,酿造年份,NOUN,B2
onregelmatigheid,irregularity,不规则,NOUN,B2
tekortkoming,insufficiency,不足,NOUN,B2
veranderen,alter,改变,VERB,A2
ongevoelig,insensitive,麻木的,ADJ,B2
kwellen,torment,折磨,VERB,B2
wandelwagen,stroller,婴儿推车,NOUN,A2
korporaal,corporal,下士,NOUN,B2
bevestigen,corroborate,确证,VERB,B2
stok,baton,指挥棒,NOUN,B2
toevallig,fortuitous,偶然的,ADJ,B2
peuk,cigarette butt,烟头,NOUN,B1
geestelijk,mentally,精神上,ADV,B2
opeenvolgend,consecutively,连续地,ADV,B2
in het bijzonder,particularly,尤其,ADV,B1
met opzet,on purpose,故意地,ADV,A2
opzettelijk,intentionally,故意地,ADV,B2
vakantie,holidays,假期,NOUN,A1
algemeenheid,generality,普遍性,NOUN,B2
gangster,gangster,歹徒,NOUN,B1
autodidactisch,self-taught,自学成才的,ADJ,B2
preek,homily,讲道,NOUN,B2
genezend,curative,有疗效的,ADJ,B2
pathologie,pathology,病理学,NOUN,B2
symptomatologie,symptomatology,症状学,NOUN,Advanced
wetenschappelijk,scientifically,科学地,ADV,B1
indringer,invader,侵略者,NOUN,B2
gasvormig,gaseous,气态的,ADJ,B2
diffuus,diffuse,弥漫的,ADJ,B2
verraderlijk,treacherous,奸诈的,ADJ,B2
inboezemen,instill,灌输,VERB,Advanced
garen,yarn,纱线,NOUN,B1
flater,blunder,大错,NOUN,B2
koudvuur,gangrene,坏疽,NOUN,Advanced
onbeperkt,unlimited,无限的,ADJ,B1
onvoorwaardelijk,unconditional,无条件的,ADJ,B2
onsamenhangend,incoherent,语无伦次的,ADJ,B2
incompetent,incompetent,不称职的,ADJ,B2
ongeoorloofd,illicit,违法的,ADJ,Advanced
index,index,索引,NOUN,B2
indexering,indexing,指数化,NOUN,B2
schandalig,scandalous,令人发指的,ADJ,B1
verval,lapse,失效,NOUN,B2
opblazen,blow up,炸毁,VERB,A2
fregat,frigate,护卫舰,NOUN,B2
verdorvenheid,depravity,堕落,NOUN,Advanced
toelichten,gloss,注释,VERB,B2
detailleren,detail,详述,VERB,B2
flagrantie,flagrancy,公然,NOUN,Advanced
jurist,jurist,法学家,NOUN,B2
filosofisch,philosophical,哲学的,ADJ,B2
gastronomie,gastronomy,美食学,NOUN,B2
ogenblikkelijk,instantaneous,瞬间的,ADJ,B2
zegel,seal,印章,NOUN,B2
motel,motel,汽车旅馆,NOUN,A2
hotelier,hotelier,旅馆经营者,NOUN,B2
fetisj,fetish,癖好,NOUN,B2
verlossing,redemption,救赎,NOUN,B2
farao,pharaoh,法老,NOUN,B1
fysiologisch,physiological,生理学的,ADJ,B2
vermoeden,inkling,略知,NOUN,Advanced
bovenaan,on top,在顶部,ADV,A2
stro,straw,稻草,NOUN,A2
magistraat,magistrate,地方官员,NOUN,B2
wettig,lawful,合法的,ADJ,B2
canoniek,canonical,符合正统的,ADJ,Advanced
fatalisme,fatalism,宿命论,NOUN,B2
heiligen,sanctify,神圣化,VERB,Advanced
smerig,filthy,肮脏的,ADJ,B1
uitstoting,ejection,排出,NOUN,B2
bloedverwantschap,consanguinity,血亲,NOUN,Advanced
distilleren,distill,蒸馏,VERB,B2
nek,nape,颈背,NOUN,A2
giechelen,giggle,咯咯笑,VERB,B1
schijf,disc,圆盘,NOUN,A2
rilling,shiver,发抖,NOUN,B2
diagonaal,diagonal,对角线,NOUN,B2
want,mitten,连指手套,NOUN,A2
strijdlust,combativeness,好斗,NOUN,B2
onbescheidenheid,immodesty,不谦虚,NOUN,B2
cashewnoot,cashew,腰果,NOUN,A2
charisma,charisma,魅力,NOUN,B2
kilometer,kilometer,公里,NOUN,A1
condenseren,condense,冷凝,VERB,B2
koolhydraat,carbohydrate,碳水化合物,NOUN,B2
overschaduwen,eclipse,使逊色,VERB,B2
ontmaskeren,unmask,揭露,VERB,B2
rapport,report card,成绩单,NOUN,A2
kiosk,kiosk,报亭,NOUN,A2
des te meer,the more,越发,ADV,B2
alles,all of it,全部,PRON,A1
snuit,muzzle,口套,NOUN,B2
onweerstaanbaar,irresistible,不可抗拒的,ADJ,B2
onweerlegbaar,irrefutable,无可辩驳的,ADJ,Advanced
spandoek,banner,横幅,NOUN,B1
spek,bacon,培根,NOUN,A2
accent,accent,口音,NOUN,A2
onmenselijk,inhuman,不人道的,ADJ,B2
onvoorstelbaar,inconceivable,难以想象的,ADJ,B2
ondenkbaar,unthinkable,不可思议的,ADJ,B2
onderbewustzijn,subconscious,潜意识,NOUN,B2
vloeken,curse,诅咒,VERB,B1
bijnamen geven,nickname,起绰号,VERB,B2
indoctrineren,indoctrinate,灌输,VERB,Advanced
opmerken,spot,发现,VERB,B1
insinueren,insinuate,暗示,VERB,B2
kwijl,drool,口水,NOUN,B2
dekbed,duvet,羽绒被,NOUN,A2
influencer,influencer,网红,NOUN,B1
opeenhoping,accumulation,积累,NOUN,B2
onderbroken,intermittent,间歇的,ADJ,B2
equivalent,equivalent,等价物,NOUN,B2
compliment,compliment,称赞,NOUN,A2
noodsituatie,plight,困境,NOUN,B2
informant,informant,告密者,NOUN,B2
drugs,drugs,毒品,NOUN,A2
memorandum,memorandum,备忘录,NOUN,B2
jam,jam,果酱,NOUN,A1
ankerplaats,anchorage,锚地,NOUN,B2
sensor,sensor,传感器,NOUN,B1
kwakzalver,charlatan,江湖郎中,NOUN,Advanced
gewend,accustomed,习惯的,ADJ,B1
gedetineerde,detainee,在押人员,NOUN,B2
geaccrediteerd,accredited,经认可的,ADJ,B2
transcendent,transcendent,卓越的,ADJ,Advanced
paradox,paradox,悖论,NOUN,B2
open,open,开着的,ADJ,A1
zuinig,thrifty,节俭的,ADJ,B2
bonus,bonus,奖金,NOUN,A2
decadent,decadent,颓废的,ADJ,B2
zone,zone,区域,NOUN,B1
clown,clown,小丑,NOUN,A2
website,website,网站,NOUN,A1
chemische stof,chemical,化学品,NOUN,B1
robuust,robust,强健的,ADJ,B2
komst,advent,到来,NOUN,B2
juwelier,jewelry store,珠宝店,NOUN,A2
geliefd,beloved,深爱的,ADJ,B1
opgesloten,locked in,被关住的,ADJ,B1
schuilplaats,hiding place,藏身处,NOUN,B1
slachting,slaughter,屠杀,NOUN,B2
hedonisme,hedonism,享乐主义,NOUN,Advanced
pathologisch,pathological,病态的,ADJ,B2
gelegenheid,time occasion,时机,NOUN,B1
leuk,fun,有趣的,ADJ,A1
verordening,ordinance,法令,NOUN,B2
doodsbang,terrified,吓坏了的,ADJ,B1
boerderij,farmstead,农庄,NOUN,A2
treden,tread,踩踏,VERB,B2
frisdrank,soda,汽水,NOUN,A1
gebrekkig,defective,有缺陷的,ADJ,B2
cognitief,cognitive,认知的,ADJ,B2
noedel,noodle,面条,NOUN,A2
conservatorium,conservatory,音乐学院,NOUN,B2
grot,grotto,洞穴,NOUN,B1
spinnerij,spinning mill,纺纱厂,NOUN,B2
advocatenkantoor,law firm,律师事务所,NOUN,B1
katapult,catapult,弹弓,NOUN,B2
imposant,imposing,壮观的,ADJ,B2
begaafd,gifted,有天赋的,ADJ,B1
ontroerend,moving,感人的,ADJ,B1
beklagenswaardig,deplorable,可悲的,ADJ,B2
laks,lax,松懈的,ADJ,B2
extremist,extremist,极端分子,NOUN,B2
hooghartig,haughty,傲慢的,ADJ,B2
opstandig,rebellious,叛逆的,ADJ,B2
gestrest,stressed,有压力的,ADJ,A2
overeengekomen,agreed,同意的,ADJ,B1
vermoeiend,tiresome,累人的,ADJ,B1
fragmentarisch,fragmentary,支离破碎的,ADJ,B2
bevroren,frozen,冷冻的,ADJ,A2
analist,analyst,分析师,NOUN,B1
verbijsterd,perplexed,困惑的,ADJ,B2
stervend,dying,临终的,ADJ,B1
holocaust,holocaust,大屠杀,NOUN,B2
misleidend,deceptive,欺骗性的,ADJ,B2
verklikker,snitch,告密者,NOUN,B2
uitverkoren,chosen,被选中的,ADJ,B2
uitvinder,inventor,发明家,NOUN,B1
gastvrij,welcoming,好客的,ADJ,B1
opgelucht,relieved,如释重负的,ADJ,B1
afvallige,apostate,背教者,NOUN,Advanced
bevend,trembling,颤抖的,ADJ,B2
bloemrijk,flowery,华丽的,ADJ,B2
uittreksel,extract,摘要,NOUN,B2
geabsorbeerd,absorbed,专注的,ADJ,B2
ziekenboeg,infirmary,医务室,NOUN,B2
endemisch,endemic,地方性的,ADJ,Advanced
klopjacht,manhunt,搜捕,NOUN,B2
geïnformeerd,informed,知情的,ADJ,B2
therapeut,therapist,治疗师,NOUN,B1
psychopaat,psychopath,精神病态者,NOUN,B2
bewonderaar,admirer,崇拜者,NOUN,B1
insolvent,insolvent,无力偿债的,ADJ,Advanced
exegeet,exegete,注释家,NOUN,Advanced
blut,broke,身无分文的,ADJ,A2
analogie,analogy,类比,NOUN,B2
aanvulling,complement,补充物,NOUN,B2
bokser,boxer,拳击手,NOUN,A2
atheïst,atheist,无神论者,NOUN,B2
sticker,decal,贴花,NOUN,A2
dodelijk,lethal,致命的,ADJ,B2
gezwollen,swollen,肿胀的,ADJ,B1
onlangs,the other day,前几天,ADV,B1
vanaf nu,from now on,从现在起,ADV,A2
onsamenhangend,disjoint,不相交的,ADJ,B2
medeburger,fellow citizen,同胞,NOUN,B2
distributeur,distributor,分销商,NOUN,B2
generator,generator,发电机,NOUN,B1
anker,anchor,锚,NOUN,B1
propeller,propeller,螺旋桨,NOUN,B2
gezindheid,disposition,性情,NOUN,B2
klem,clip,夹子,NOUN,A2
scalpel,scalpel,手术刀,NOUN,B2
waarvandaan,from where,从哪里,ADV,A2
schenking,endowment,捐赠,NOUN,B2
asbak,ashtray,烟灰缸,NOUN,A2
daaruit,from it,从中,ADV,B1
afgevaardigde,deputy,副手,NOUN,B2
nazi,nazi,纳粹,NOUN,B1
menselijke natuur,human nature,人性,NOUN,B2
opvliegendheid,irascibility,易怒,NOUN,Advanced
relativisme,relativism,相对主义,NOUN,B2
monument,monument,纪念碑,NOUN,A2
hygiëne,hygiene,卫生,NOUN,B1
regime,regime,政权,NOUN,B2
pantoffel,slipper,拖鞋,NOUN,A2
krassen,caw,叫唤,VERB,B2
tunnel,tunnel,隧道,NOUN,A2
voortzetten,carry forward,发扬,VERB,B2
achteruitgang,regression,倒退,NOUN,B2
renaissance,renaissance,复兴,NOUN,B2
november,november,十一月,NOUN,A1
noumenon,noumenon,本体,NOUN,Advanced
slagtand,fang,尖牙,NOUN,B2
vreugdevuur,bonfire,篝火,NOUN,B1
vurig,fiery,热烈的,ADJ,B2
dakraam,skylight,天窗,NOUN,B1
onvolmaakt,imperfect,不完美的,ADJ,B2
uitvloeisel,corollary,必然结果,NOUN,Advanced
voorbewerken,rough-hew,粗加工,VERB,Advanced
onpartijdigheid,impartiality,公正,NOUN,B2
ontwapening,disarmament,裁军,NOUN,B2
toeschrijven,impute,归咎于,VERB,Advanced
nageslacht,offspring,后代,NOUN,B2
verrukking,rapture,狂喜,NOUN,B2
ja ja,yeah yeah,是啊,INTJ,A1
uitwijken,expatriate,移居国外,VERB,B2
epigraaf,epigraph,题词,NOUN,Advanced
roddelen,gossip,说闲话,VERB,A2
plundering,looting,洗劫,NOUN,B2
uitbarsting,paroxysm,突发,NOUN,Advanced
stip,dot,圆点,NOUN,A2
zelfverloochening,self-denial,自我克制,NOUN,Advanced
feminist,feminist,女权主义者,NOUN,B2
amateur,amateur,业余爱好者,NOUN,B1
plateau,plateau,高原,NOUN,B2
hobby,hobby,爱好,NOUN,A1
hoera,hurrah,万岁,INTJ,A1
manie,mania,狂热,NOUN,B2
voorgevoel,premonition,预感,NOUN,B2
desertéren,desert,擅离职守,VERB,B2
breekbaarheid,fragility,脆弱,NOUN,B2
troep,crap,废话,NOUN,B1
hen,him her,他们,PRON,A1
koolwaterstof,hydrocarbon,碳氢化合物,NOUN,B2
hydraulisch,hydraulic,水力的,ADJ,B2
oase,oasis,绿洲,NOUN,B1
gevoel,sentiment,情感,NOUN,B2
opmerkelijk,notable,值得注意的,ADJ,B2
beminnelijk,amiable,和蔼可亲的,ADJ,B2
medium,medium,媒介,NOUN,B1
stigma,stigma,污名,NOUN,B2
patriottisme,patriotism,爱国主义,NOUN,B2
interface,interface,界面,NOUN,B1
instemmen,consent,同意,VERB,B2
condoom,condom,避孕套,NOUN,A2
huppelen,caper,雀跃,VERB,B2
alleen,alone,单独的,ADJ,A1
gezwel,tumor,肿瘤,NOUN,B2
tatoeage,tattoo,纹身,NOUN,A2
toegang krijgen tot,access,访问,VERB,B1
inpluggen,plug in,插上插头,VERB,A2
beschrijvend,descriptive,描述性的,ADJ,B2
schaamteloosheid,shamelessness,厚颜无耻,NOUN,B2
overeind staan,bristle,竖立,VERB,B2
feestmaal,feast,盛宴,NOUN,B2
flitsen,flash,闪烁,VERB,A2
fictief,fictitious,虚构的,ADJ,B2
werf,yard,院子,NOUN,B1
links,left,左侧,NOUN,A1
hemeltjelief,good heavens,天哪,INTJ,A2
larve,larva,幼虫,NOUN,B2
Griek,greek,希腊人,NOUN,A2
antioxidant,antioxidant,抗氧化剂,NOUN,B2
kletspraatje,chat,闲聊,NOUN,A2
trouwfoto,wedding photo,结婚照,NOUN,A2
buren,next door,隔壁,NOUN,A2
nachtzicht,night view,夜景,NOUN,B1
nieuwjaarsdag,new year's day,元旦,NOUN,A2
watermeloenpit,watermelon seed,西瓜子,NOUN,A2
worp,throw,投掷,NOUN,B1
overwegen,think to want,打算,VERB,B1
dit item,this item,此项目,NOUN,B1
op deze manier,this way,这种方式,PRON,A2
spijtig,sorry,遗憾的,ADJ,A2
niet-nalevend,noncompliant,不服从的,ADJ,Advanced
zij,they things,它们,PRON,A1
noch,neither,既不,CCONJ,B1
ons,we or us including both the speaker and the person s spoken to,我们,PRON,A1
buitenkant,exterior,外部,NOUN,B1
buitenstaander,outsider,局外人,NOUN,B2
interviewen,interview,面试,VERB,A2
schetsen,outline,概述,VERB,B2
u,you,您,NOUN,A1
anderen,other others,其他人,DET,A1
letsel,lesion,损伤,NOUN,B2
toevallen,fall to,归于,VERB,B2
duizenden,thousands,成千上万,NOUN,A2
corrumperen,corrupt,使腐败,VERB,Advanced
acclimatisering,acclimatization,适应环境,NOUN,B2
herbergen,harbor,庇护,VERB,B2
album,album,专辑,NOUN,A2
veiligheidsgerelateerd,security-related,安全相关的,ADJ,B2
ten eerste,firstly,首先,ADV,A2
oligarchie,oligarchy,寡头政治,NOUN,B2
accentueren,accentuate,强调,VERB,B2
tegenstaan,cloy,使生腻,VERB,Advanced
aanschouwen,behold,注视,VERB,B2
ongeldig maken,invalidate,使无效,VERB,B2
ontmantelen,defuse,拆除,VERB,B2
verder,further,进一步的,ADJ,A2
voltooien,consummate,圆满完成,VERB,B2
etherisch,ethereal,空灵的,ADJ,Advanced
verzwaren,make heavier,加重,VERB,B2
prijzen,extol,赞美,VERB,B2
struikgewas,thicket,灌木丛,NOUN,B2
in verlegenheid brengen,embarrass,使尴尬,VERB,B1
af en toe,punctually occasionally,偶尔,ADV,B1
onbeholpen,ungainly,笨拙的,ADJ,B2
ontvolken,depopulate,使人口减少,VERB,Advanced
voegwoord,conjunction,连词,NOUN,B1
vereeuwigen,perpetuate,使永存,VERB,B2
beschuldigen,incriminate,归罪于,VERB,B2
kastijden,chastise,严惩,VERB,Advanced
lichamelijk letsel,bodily harm,身体伤害,NOUN,B2
ontdooien,defrost,解冻,VERB,A2
berusten,acquiesce,默许,VERB,B2
verdoven,daze,使发晕,VERB,B2
verontrusten,disconcert,使不安,VERB,B2
in de war brengen,fluster,使慌乱,VERB,B2
veen,moor,沼泽,NOUN,B2
bevredigen,gratify,使满足,VERB,B2
ontharen,depilate,脱毛,VERB,B2
