Spanish_Lemma,English_Lemma,Chinese_Lemma,POS
distanciar,to distance,疏远,VERB
distensión,detente,缓和,NOUN
distinción,distinction,区别,NOUN
distinguible,distinguishable,可区分的,ADJ
distinguir,to distinguish,区分,VERB
distintivo,distinctive,独特的,ADJ
distorsionar,to distort,扭曲,VERB
distorsión,distortion,扭曲,NOUN
distraído,distracted,分心的,ADJ
distribución,distribution,分配,NOUN
distribuir,to distribute,分配,VERB
disturbio,disturbance,骚乱,NOUN
disuadir,to dissuade,劝阻,VERB
disuasivo,dissuasive,劝阻的,ADJ
disuasión,dissuasion,劝阻,NOUN
diuturno,long-lasting,持久的,ADJ
divagación,digression,离题,NOUN
divagar,to digress,离题,VERB
divergencia,divergence,分歧,NOUN
divergente,divergent,分歧的,ADJ
divergir,to diverge,分歧,VERB
diversidad,diversity,多样性,NOUN
diversificación,diversification,多样化,NOUN
diversificar,to diversify,使多样化,VERB
divertir,to amuse,娱乐,VERB
divestir,to divest,剥夺,VERB
dividendo,dividend,股息,NOUN
dividir,to divide,分割,VERB
divinatorio,divinatory,占卜的,ADJ
divinidad,divinity,神性,NOUN
divinizar,to deify,神化,VERB
divisar,to spot,看见,VERB
divisibilidad,divisibility,可分性,NOUN
divisivo,divisive,分裂的,ADJ
divulgación,dissemination,传播,NOUN
divulgar,to disseminate,传播,VERB
diáfano,diaphanous,透明的,ADJ
diálogo,dialogue,对话,NOUN
diáspora,diaspora,流散,NOUN
doblar,to fold,折叠,VERB
doblegar,to subdue,制服,VERB
docente,teaching,教学的,ADJ
docilidad,docility,温顺,NOUN
docto,learned,博学的,ADJ
doctrinario,doctrinaire,教条主义的,ADJ
documentar,to document,记录,VERB
dogal,of the noose,绞索的,ADJ
dogmatismo,dogmatism,教条主义,NOUN
dogmático,dogmatic,教条的,ADJ
doliente,suffering,受苦的,ADJ
dolo,fraud,欺诈,NOUN
dolorido,sore,疼痛的,ADJ
domable,tamable,可驯服的,ADJ
domadura,taming,驯服,NOUN
domesticar,to tame,驯养,VERB
domeñar,to subdue,征服,VERB
domiciliar,to domicile,使定居,VERB
domiciliario,home-based,家庭的,ADJ
dominante,dominant,占主导地位的,ADJ
dominar,to dominate,支配,VERB
doméstico,domestic,家庭的,ADJ
donante,donor,捐赠者,NOUN
donar,to donate,捐赠,VERB
donoso,witty,诙谐的,ADJ
dorar,to gild,镀金,VERB
dotación,endowment,配备,NOUN
dotar,to endow,赋予,VERB
dote,dowry,嫁妆,NOUN
draconiano,draconian,严酷的,ADJ
dramaturgia,dramaturgy,戏剧艺术,NOUN
dren,drain,排水管,NOUN
drogadicción,drug addiction,药物成瘾,NOUN
drogadicto,drug addict,吸毒者,NOUN
drástico,drastic,激烈的,ADJ
duchar,to shower,淋浴,VERB
dudoso,doubtful,可疑的,ADJ
duela,stave,桶板,NOUN
duende,goblin,小精灵,NOUN
duendecillo,sprite,小妖精,NOUN
duermevela,doze,浅睡,NOUN
dueto,duet,二重奏,NOUN
dulcificar,sweeten,使变甜,VERB
duplicar,duplicate,复制,VERB
duplicidad,duplicity,口是心非,NOUN
duplo,double,两倍,NOUN
duquesa,duchess,公爵夫人,NOUN
durabilidad,durability,耐用性,NOUN
duración,duration,持续时间,NOUN
duradero,lasting,持久的,ADJ
duraznero,peach tree,桃树,NOUN
dureza,hardness,硬度,NOUN
dársena,dock,船坞,NOUN
déficit,deficit,赤字,NOUN
déspota,despot,暴君,NOUN
dócil,docile,温顺的,ADJ
dúctil,ductile,有延展性的,ADJ
dúo,duo,二人组,NOUN
dúplex,duplex,复式住宅,NOUN
ebanista,cabinetmaker,细木工,NOUN
ebriedad,drunkenness,醉酒,NOUN
ebullición,boiling,沸腾,NOUN
eclesial,ecclesial,教会的,ADJ
eclesiástico,ecclesiastical,教会的,ADJ
eclipsar,eclipse,使失色,VERB
eclosión,hatching,孵化,NOUN
ecléctico,eclectic,折衷的,ADJ
ecología,ecology,生态学,NOUN
económico,economic,经济的,ADJ
ecuación,equation,方程,NOUN
ecuanimidad,equanimity,平静,NOUN
ecuestre,equestrian,马术的,ADJ
edificación,building,建筑,NOUN
edificante,edifying,有教益的,ADJ
edificar,to edify,教化,VERB
editar,to edit,编辑,VERB
edredón,duvet,羽绒被,NOUN
educar,to educate,教育,VERB
educativo,educational,教育的,ADJ
efectivamente,indeed,确实,ADV
efectividad,effectiveness,有效性,NOUN
efectuar,to carry out,实施,VERB
efeméride,anniversary,纪念日,NOUN
efervescencia,effervescence,沸腾,NOUN
efervescente,effervescent,沸腾的,ADJ
eficacia,effectiveness,功效,NOUN
eficaz,effective,有效的,ADJ
eficiencia,efficiency,效率,NOUN
eficiente,efficient,高效的,ADJ
efigie,effigy,肖像,NOUN
efluvio,emanation,散发物,NOUN
efímero,ephemeral,短暂的,ADJ
egolatría,egolatry,自我崇拜,NOUN
egoísmo,egoism,利己主义,NOUN
egregio,illustrious,杰出的,ADJ
ególatra,egomaniac,自我崇拜者,NOUN
eje,axis,轴,NOUN
ejecutar,to execute,执行,VERB
ejercer,to practice,行使,VERB
elaboración,elaboration,制定,NOUN
elaborado,elaborate,精心制作的,ADJ
elaborar,to elaborate,制定,VERB
electiva,elective,选修的,ADJ
electividad,electivity,选择性,NOUN
electorado,electorate,选民,NOUN
elegancia,elegance,优雅,NOUN
elegía,elegy,挽歌,NOUN
elenco,cast,演员阵容,NOUN
elevación,elevation,提升,NOUN
elevado,elevated,高的,ADJ
elevar,elevate,提升,VERB
elidir,elide,省略,VERB
eliminación,elimination,消除,NOUN
elipsis,ellipsis,省略,NOUN
elocución,elocution,演讲术,NOUN
elocuencia,eloquence,口才,NOUN
elocuente,eloquent,雄辩的,ADJ
elogiar,praise,赞扬,VERB
elogio,praise,赞扬,NOUN
elucidación,elucidation,阐明,NOUN
elucidar,elucidate,阐明,VERB
elucubración,lucubration,苦心钻研,NOUN
elucubrar,lucubrate,苦心钻研,VERB
eludir,elude,逃避,VERB
emancipación,emancipation,解放,NOUN
emancipar,emancipate,解放,VERB
embalar,pack,包装,VERB
embalsamar,embalm,防腐,VERB
embarcación,vessel,船只,NOUN
embarcadero,wharf,码头,NOUN
embarcar,embark,登船,VERB
embargar,seize,扣押,VERB
embarrar,mud,弄脏,VERB
embaucar,deceive,欺骗,VERB
embeber,soak,浸泡,VERB
embelesar,enthrall,迷住,VERB
embeleso,delight,喜悦,NOUN
embellecer,embellish,美化,VERB
embellecimiento,beautification,美化,NOUN
embestir,to charge,冲撞,VERB
emblema,emblem,徽章,NOUN
emblemático,emblematic,象征性的,ADJ
embocadura,mouth,河口,NOUN
embolia,embolism,栓塞,NOUN
emborrachar,to intoxicate,使喝醉,VERB
embotellamiento,traffic jam,交通堵塞,NOUN
embozar,to muffle,捂住,VERB
embrague,clutch,离合器,NOUN
embriagar,to intoxicate,使陶醉,VERB
embriaguez,intoxication,醉酒,NOUN
embridar,to bridle,给...上笼头,VERB
embrión,embryo,胚胎,NOUN
embrollar,to muddle,弄乱,VERB
embrollo,mess,混乱,NOUN
embromar,to tease,戏弄,VERB
embrutecer,to brutalize,使野蛮,VERB
embudo,funnel,漏斗,NOUN
embuste,lie,谎言,NOUN
embustero,liar,骗子,NOUN
embutido,sausage,香肠,NOUN
embutir,to stuff,填塞,VERB
emerger,to emerge,浮现,VERB
emigración,emigration,移民,NOUN
eminencia,eminence,显赫,NOUN
eminente,eminent,杰出的,ADJ
emisión,emission,排放,NOUN
emisor,emitter,发射器,NOUN
emisora,broadcasting station,广播电台,NOUN
emitir,to emit,发出,VERB
emolumento,emolument,报酬,NOUN
emoticón,emoticon,表情符号,NOUN
empacho,indigestion,积食,NOUN
empalagar,to cloy,使甜腻,VERB
empalagoso,cloying,甜腻的,ADJ
empalizada,palisade,栅栏,NOUN
empalmar,to join,连接,VERB
empanada,turnover,肉馅卷饼,NOUN
empapar,to soak,浸透,VERB
empaque,packaging,包装,NOUN
empaquetar,to package,包装,VERB
emparedado,sandwich,三明治,NOUN
emparejar,to pair,配对,VERB
emparentar,to be related,有亲戚关系,VERB
empastar,to fill,填补,VERB
empatar,to tie,打平,VERB
empate,tie,平局,NOUN
empecer,to harm,损害,VERB
empecinado,stubborn,固执的,ADJ
empeorar,to worsen,恶化,VERB
empequeñecer,to belittle,贬低,VERB
emperifollar,to dress up,盛装打扮,VERB
empero,however,然而,ADV
empeñar,to pawn,典当,VERB
empeño,effort,努力,NOUN
empinado,steep,陡峭的,ADJ
empinar,to raise,举起,VERB
empirismo,empiricism,经验主义,NOUN
emplazamiento,location,地点,NOUN
emplazar,to summon,传唤,VERB
emplomar,to lead,用铅覆盖,VERB
empobrecer,to impoverish,使贫困,VERB
empobrecimiento,impoverishment,贫困化,NOUN
empolvar,to powder,撒粉,VERB
emponzoñar,to poison,毒害,VERB
emporcar,to dirty,弄脏,VERB
emporio,emporium,商业中心,NOUN
empotrar,to embed,嵌入,VERB
emprendedor,entrepreneur,企业家,NOUN
emprender,to undertake,从事,VERB
empresarial,business,企业的,ADJ
empresario,businessman,企业家,NOUN
empujón,push,推,NOUN
empuñar,to wield,握住,VERB
empíreo,empyrean,天界的,ADJ
empíricamente,empirically,凭经验地,ADV
emulación,emulation,模仿,NOUN
emular,to emulate,效仿,VERB
enajenable,alienable,可转让的,ADJ
enajenar,to alienate,使疏远,VERB
enaltecer,to exalt,颂扬,VERB
enamoramiento,infatuation,迷恋,NOUN
enamorar,to make fall in love,使爱上,VERB
enardecer,to inflame,煽动,VERB
encabezamiento,heading,标题,NOUN
encabezar,to lead,领导,VERB
encadenamiento,linking,连接,NOUN
encadenar,to chain,用链拴住,VERB
encajar,to fit,适合,VERB
encalvecer,to go bald,变秃,VERB
encamarse,to take to bed,卧床,VERB
encaminamiento,routing,路由,NOUN
encaminar,to direct,引导,VERB
encandilar,to dazzle,使目眩,VERB
encanecer,to gray,变白,VERB
encapotar,to overcast,变阴沉,VERB
encarar,to face,面对,VERB
encarcelamiento,imprisonment,监禁,NOUN
encarcelar,to imprison,监禁,VERB
encarecer,to make more expensive,使涨价,VERB
encarecidamente,earnestly,恳切地,ADV
encargar,to order,订购,VERB
encariñarse,to grow fond of,喜爱,VERB
encarnación,incarnation,化身,NOUN
encarnado,crimson,深红的,ADJ
encarnar,to embody,体现,VERB
encarnizado,fierce,激烈的,ADJ
encarrilar,to put on track,使走上正轨,VERB
encartar,to involve,牵连,VERB
encasillamiento,categorization,分类,NOUN
encasillar,to pigeonhole,把…归类,VERB
encasquetar,to force-feed,强加,VERB
encauzar,to channel,引导,VERB
encañar,to channel,用管道输送,VERB
encañonar,to point a gun,用枪指着,VERB
encefálico,encephalic,脑的,ADJ
encenagado,muddied,陷入泥潭的,ADJ
encendedor,lighter,打火机,NOUN
encerrar,to lock up,关押,VERB
encharcar,to flood,使积水,VERB
enchufar,to plug in,插入,VERB
enciclopédico,encyclopedic,百科全书式的,ADJ
encierro,confinement,禁闭,NOUN
encina,holm oak,圣栎,NOUN
encinta,pregnant,怀孕的,ADJ
enclaustrar,to cloister,使隐居,VERB
enclavar,to lodge in,嵌入,VERB
enclenque,sickly,虚弱的,ADJ
encogerse,to shrink,收缩,VERB
encogimiento,shrinkage,收缩,NOUN
encolerizado,enraged,暴怒的,ADJ
encomendable,commendable,值得赞扬的,ADJ
encomendar,to entrust,委托,VERB
encomiable,commendable,值得赞扬的,ADJ
encomiar,to praise,称赞,VERB
encomienda,commission,委托,NOUN
encomio,praise,赞扬,NOUN
enconado,inflamed,激烈的,ADJ
enconar,to inflame,激化,VERB
encono,rancor,怨恨,NOUN
encontronazo,collision,碰撞,NOUN
encordar,to string,装弦,VERB
encorvar,to bend,使弯曲,VERB
encrespar,to ruffle,弄乱,VERB
encrucijada,crossroads,十字路口,NOUN
encuadernación,binding,装订,NOUN
encuadernar,to bind,装订,VERB
encuadre,framing,构图,NOUN
encubrimiento,concealment,隐瞒,NOUN
encubrir,to cover up,掩盖,VERB
encuesta,survey,调查,NOUN
encuestador,pollster,民意测验员,NOUN
encumbrado,exalted,崇高的,ADJ
encumbrar,to exalt,提升,VERB
endeble,feeble,虚弱的,ADJ
enderezar,to straighten,弄直,VERB
endeudamiento,indebtedness,负债,NOUN
endeudarse,to get into debt,负债,VERB
endiablado,devilish,恶魔般的,ADJ
endilgar,to foist,强加,VERB
endiosamiento,deification,神化,NOUN
endiosar,to deify,神化,VERB
endogamia,endogamy,同族通婚,NOUN
endosar,to endorse,背书,VERB
endoso,endorsement,背书,NOUN
endulzar,to sweeten,使变甜,VERB
endurecer,to harden,使变硬,VERB
endurecimiento,hardening,硬化,NOUN
endémico,endemic,地方性的,ADJ
endógeno,endogenous,内生的,ADJ
enemistad,enmity,敌意,NOUN
enemistar,to alienate,使疏远,VERB
energético,energetic,精力充沛的,ADJ
energúmeno,fiend,狂怒的人,NOUN
enervante,irritating,令人烦躁的,ADJ
enervar,to enervate,使衰弱,VERB
enfadar,to anger,使生气,VERB
enfado,anger,愤怒,NOUN
enfangar,to muddy,弄脏,VERB
enfatizar,to emphasize,强调,VERB
enfermero,nurse,护士,NOUN
enfermizo,sickly,多病的,ADJ
enfilar,to line up,排成一行,VERB
enflaquecer,to thin,变瘦,VERB
enfocar,to focus,聚焦,VERB
enfrascarse,to engross,全神贯注,VERB
enfrentamiento,confrontation,对抗,NOUN
enfriamiento,cooling,冷却,NOUN
enfriar,to cool,冷却,VERB
enfurecer,to enrage,激怒,VERB
enfurruñarse,to sulk,生闷气,VERB
enfático,emphatic,强调的,ADJ
engalanar,to adorn,装饰,VERB
enganchar,to hook,钩住,VERB
enganche,hook,钩子,NOUN
engatusar,to coax,哄骗,VERB
engañoso,deceptive,欺骗性的,ADJ
engendrar,to beget,产生,VERB
englobar,to encompass,包含,VERB
engolfarse,to engross,沉迷,VERB
engolosinar,to entice,引诱,VERB
engordar,to gain weight,变胖,VERB
engorroso,cumbersome,繁琐的,ADJ
engrandecer,to enlarge,扩大,VERB
engrandecimiento,aggrandizement,夸大,NOUN
engreimiento,conceit,自负,NOUN
engreído,conceited,自负的,ADJ
engrosar,thicken,变厚,VERB
engullir,gulp,狼吞虎咽,VERB
enhebrar,thread,穿针,VERB
enhiesto,upright,挺立的,ADJ
enigmático,enigmatic,神秘的,ADJ
enjabonar,soap,涂肥皂,VERB
enjalbegar,whitewash,粉刷,VERB
enjambre,swarm,蜂群,NOUN
enjaular,cage,关进笼子,VERB
enjoyado,bejeweled,镶满珠宝的,ADJ
enjuagar,rinse,冲洗,VERB
enjugar,wipe,擦干,VERB
enjuiciamiento,trial,审判,NOUN
enjuiciar,try,审判,VERB
enjuto,gaunt,消瘦的,ADJ
enladrillar,pave with bricks,铺砖,VERB
enlazar,link,连接,VERB
enloquecer,drive mad,使发疯,VERB
enloquecimiento,madness,疯狂,NOUN
enlosar,pave with flags,铺石板,VERB
enlucir,plaster,抹灰,VERB
enmadejar,skein,绕成线团,VERB
enmarañar,entangle,使纠缠,VERB
enmarcar,frame,装框,VERB
enmascarar,mask,掩饰,VERB
enmendable,amendable,可修正的,ADJ
enmendar,amend,修正,VERB
enmienda,amendment,修正案,NOUN
enmohecer,mildew,发霉,VERB
enmudecer,fall silent,沉默,VERB
ennegrecer,blacken,变黑,VERB
ennoblecer,ennoble,使高贵,VERB
enojadizo,irritable,易怒的,ADJ
enojo,anger,愤怒,NOUN
enojoso,annoying,恼人的,ADJ
enorgullecer,to make proud,使自豪,VERB
enormidad,enormity,巨大,NOUN
enrabiar,to enrage,激怒,VERB
enraizar,to take root,生根,VERB
enramada,bower,凉亭,NOUN
enrarecimiento,rarefaction,稀薄,NOUN
enredadera,vine,藤蔓,NOUN
enredar,to entangle,纠缠,VERB
enredo,tangle,混乱,NOUN
enriquecedor,enriching,有益的,ADJ
enriquecer,to enrich,丰富,VERB
enriquecimiento,enrichment,丰富,NOUN
enrojecer,to redden,变红,VERB
enrolar,to enlist,征募,VERB
enroscar,to coil,卷曲,VERB
ensalmo,incantation,咒语,NOUN
ensalzar,to extol,赞扬,VERB
ensamblaje,assembly,组装,NOUN
ensamblar,to assemble,组装,VERB
ensanchamiento,widening,加宽,NOUN
ensanchar,to widen,加宽,VERB
ensartar,to skewer,串起,VERB
ensayar,to rehearse,排练,VERB
ensayista,essayist,散文家,NOUN
ensayístico,essayistic,散文的,ADJ
ensañamiento,cruelty,残忍,NOUN
ensañarse,to be relentless,肆虐,VERB
ensenada,cove,小海湾,NOUN
enseñanza,teaching,教学,NOUN
ensimismado,absorbed,全神贯注的,ADJ
ensimismarse,to become absorbed,全神贯注,VERB
ensombrecer,to overshadow,使蒙上阴影,VERB
ensordecedor,deafening,震耳欲聋的,ADJ
ensordecer,to deafen,使聋,VERB
ensortijado,curly,卷曲的,ADJ
ensoñación,daydream,白日梦,NOUN
ensoñar,to daydream,做白日梦,VERB
ensuciar,to soil,弄脏,VERB
entablado,floorboard,木地板,NOUN
entablar,to start,开始,VERB
entablillar,to splint,用夹板固定,VERB
entallar,to fit,使契合,VERB
entarimado,parquet,镶木地板,NOUN
ente,entity,实体,NOUN
entelequia,entelechy,隐德来希,NOUN
entelerido,numb,麻木的,ADJ
entendimiento,understanding,理解力,NOUN
entenebrecer,to darken,使变暗,VERB
enteramente,entirely,完全地,ADV
enterarse,to find out,得知,VERB
entereza,integrity,正直,NOUN
enterizo,whole,完整的,ADJ
enternecedor,touching,感人的,ADJ
enternecerse,to be moved,感动,VERB
enternecimiento,tenderness,柔情,NOUN
enterramiento,burial,埋葬,NOUN
entibiar,to lukewarm,使微温,VERB
entidad,entity,实体,NOUN
entomología,entomology,昆虫学,NOUN
entonación,intonation,语调,NOUN
entonar,to intone,吟唱,VERB
entornar,to half-close,半闭,VERB
entorpecer,to hinder,阻碍,VERB
entrampar,to ensnare,使陷入困境,VERB
entrante,starter,开胃菜,NOUN
entraña,entrails,内脏,NOUN
entrañable,beloved,亲爱的,ADJ
entrañar,to entail,意味着,VERB
entreabierto,ajar,半开的,ADJ
entreabrir,to half-open,半开,VERB
entreacto,intermission,幕间休息,NOUN
entrecejo,brow,眉间,NOUN
entrechocar,to clash,碰撞,VERB
entrecortado,faltering,断断续续的,ADJ
entrecruzar,to interlace,交叉,VERB
entredicho,suspicion,质疑,NOUN
entrelazado,intertwined,交织的,ADJ
entrelazar,to interweave,交织,VERB
entremedias,in between,在中间,ADV
entremeterse,to meddle,干涉,VERB
entremezclar,to intermix,混合,VERB
entremés,hors d'oeuvre,开胃小吃,NOUN
entrenuevos,every other Sunday,每隔一周的星期日,NOUN
entreoír,to half-hear,隐约听到,VERB
entrepiso,mezzanine,夹层,NOUN
entresacar,to select,挑选,VERB
entresueño,light sleep,浅睡,NOUN
entretanto,meanwhile,与此同时,ADV
entretelas,inner workings,内幕,NOUN
entretener,to entertain,娱乐,VERB
entretenido,entertaining,有趣的,ADJ
entrever,to glimpse,瞥见,VERB
entreverar,to mix,混杂,VERB
entrevistador,interviewer,采访者,NOUN
entrevistar,to interview,采访,VERB
entristecedor,saddening,令人悲伤的,ADJ
entristecer,to sadden,使悲伤,VERB
entrometerse,to meddle,干涉,VERB
entrometido,meddlesome,好管闲事的,ADJ
entronización,enthronement,登基,NOUN
entronizar,to enthrone,立为王,VERB
entronque,connection,联系,NOUN
entuerto,wrong,冤屈,NOUN
entumecerse,to go numb,麻木,VERB
entumecer,to numb,使麻木,VERB
entumecimiento,numbness,麻木,NOUN
enturbiar,to muddy,使浑浊,VERB
entusiasmar,to excite,使兴奋,VERB
entusiasta,enthusiastic,热情的,ADJ
enumeración,enumeration,列举,NOUN
enumerar,to enumerate,列举,VERB
enunciación,enunciation,发音,NOUN
enunciado,statement,陈述,NOUN
enunciar,to enunciate,阐明,VERB
envalentonar,to embolden,使大胆,VERB
envalentonarse,to become bold,变得大胆,VERB
envaramiento,stiffness,僵硬,NOUN
envarar,to stiffen,使僵硬,VERB
envasar,to bottle,装瓶,VERB
envase,container,容器,NOUN
envejecer,to age,变老,VERB
envejecido,aged,年老的,ADJ
envejecimiento,aging,老化,NOUN
envenenamiento,poisoning,中毒,NOUN
envenenar,to poison,毒害,VERB
envergadura,scope,规模,NOUN
investir,to invest,授予,VERB
envidiable,enviable,令人羡慕的,ADJ
envidiar,to envy,嫉妒,VERB
envidioso,envious,嫉妒的,ADJ
envilecer,to debase,使卑鄙,VERB
envilecimiento,debasement,堕落,NOUN
enviudar,to be widowed,丧偶,VERB
envoltorio,wrapper,包装纸,NOUN
envoltura,wrapping,包装,NOUN
envolver,to wrap,包裹,VERB
envés,reverse side,反面,NOUN
enyesar,to plaster,涂石膏,VERB
enérgico,energetic,精力充沛的,ADJ
epicúreo,epicurean,享乐主义的,ADJ
epidemia,epidemic,流行病,NOUN
epidérmico,epidermal,表皮的,ADJ
epigrama,epigram,讽刺短诗,NOUN
epistemología,epistemology,认识论,NOUN
epistolar,epistolary,书信的,ADJ
episódico,episodic,插曲的,ADJ
epitafio,epitaph,墓志铭,NOUN
epígrafe,epigraph,题词,NOUN
epílogo,epilogue,尾声,NOUN
epíteto,epithet,绰号,NOUN
epítome,epitome,摘要,NOUN
epónimo,eponymous,以其名字命名的,ADJ
equidad,equity,公平,NOUN
equidistante,equidistant,等距的,ADJ
equilibrar,to balance,平衡,VERB
equilátero,equilateral,等边的,ADJ
equipamiento,equipment,设备,NOUN
equipar,to equip,装备,VERB
equiparable,comparable,可比较的,ADJ
equiparar,to equate,使相等,VERB
equivalente,equivalent,相等的,ADJ
equivaler,to be equivalent,相当于,VERB
equivocación,mistake,错误,NOUN
equivocar,to make a mistake,弄错,VERB
equivocarse,to make a mistake,弄错,VERB
equívoco,equivocal,模棱两可的,ADJ
erario,treasury,国库,NOUN
erección,erection,建立,NOUN
eremita,hermit,隐士,NOUN
erguido,upright,笔直的,ADJ
erguir,to raise,竖起,VERB
erial,wasteland,荒地,NOUN
erigir,to erect,建造,VERB
erizar,to bristle,使竖起,VERB
erizo,hedgehog,刺猬,NOUN
erosionar,to erode,侵蚀,VERB
erosión,erosion,侵蚀,NOUN
erotismo,eroticism,色情,NOUN
erradicar,to eradicate,根除,VERB
errado,mistaken,错误的,ADJ
errante,wandering,流浪的,ADJ
errar,to err,犯错,VERB
errático,erratic,不稳定的,ADJ
erróneo,erroneous,错误的,ADJ
eructo,burp,打嗝,NOUN
erudición,erudition,博学,NOUN
erudito,erudite,博学的,ADJ
erupción,eruption,爆发,NOUN
erótico,erotic,色情的,ADJ
esbeltez,slenderness,苗条,NOUN
esbelto,slender,苗条的,ADJ
esbirro,henchman,帮凶,NOUN
esbozar,to sketch,勾勒,VERB
esbozo,sketch,草图,NOUN
escabechar,to pickle,腌渍,VERB
escabel,footstool,脚凳,NOUN
escabroso,risqué,下流的,ADJ
escabullirse,to slip away,溜走,VERB
escalada,escalation,升级,NOUN
escalafón,ranking,等级,NOUN
escalar,to climb,攀登,VERB
escaldar,to scald,烫伤,VERB
escalinata,steps,台阶,NOUN
escalofriante,chilling,令人毛骨悚然的,ADJ
escalofrío,shiver,寒战,NOUN
escalpelo,scalpel,手术刀,NOUN
escamado,wary,警惕的,ADJ
escamoso,scaly,有鳞的,ADJ
escamotear,to spirit away,变走,VERB
escampar,to clear up,放晴,VERB
escandaloso,scandalous,可耻的,ADJ
escandinavo,Scandinavian,斯堪的纳维亚的,ADJ
escapatoria,way out,出路,NOUN
escaramuza,skirmish,小规模冲突,NOUN
escarbar,to dig,挖掘,VERB
escarceo,flirtation,调情,NOUN
escarcha,frost,霜,NOUN
escarchado,frosted,结霜的,ADJ
escardar,to weed,除草,VERB
escarmentar,to learn a lesson,吸取教训,VERB
escarmiento,lesson,教训,NOUN
escarnecer,to mock,嘲笑,VERB
escarnio,scorn,轻蔑,NOUN
escarpado,steep,陡峭的,ADJ
escasamente,scarcely,几乎不,ADV
escasear,to be scarce,缺乏,VERB
escasez,scarcity,短缺,NOUN
escaso,scarce,稀少的,ADJ
escenificar,to stage,上演,VERB
escepticismo,skepticism,怀疑主义,NOUN
escindir,to split,分裂,VERB
escisión,split,分裂,NOUN
esclarecedor,enlightening,有启发性的,ADJ
esclarecer,to clarify,阐明,VERB
esclarecimiento,clarification,澄清,NOUN
esclavitud,slavery,奴隶制,NOUN
esclavizar,to enslave,奴役,VERB
escoba,broom,扫帚,NOUN
escobazo,broom blow,扫帚击,NOUN
escocer,to sting,刺痛,VERB
escogido,chosen,精选的,ADJ
escolano,choirboy,唱诗班男孩,NOUN
escollo,obstacle,障碍,NOUN
escolopendra,centipede,蜈蚣,NOUN
escoltar,to escort,护送,VERB
escombro,rubble,瓦砾,NOUN
escondrijo,hideout,藏身处,NOUN
escoplo,chisel,凿子,NOUN
escorbuto,scurvy,坏血病,NOUN
escote,neckline,领口,NOUN
escozor,smarting,刺痛,NOUN
escribiente,clerk,书记员,NOUN
escriño,casket,首饰盒,NOUN
escrupulosamente,scrupulously,一丝不苟地,ADV
escrupulosidad,scrupulosity,严谨,NOUN
escrúpulo,scruple,顾虑,NOUN
escuadra,square,三角尺,NOUN
escudero,squire,侍从,NOUN
escudriñar,scrutinize,细查,VERB
escueto,terse,简洁的,ADJ
escultor,sculptor,雕塑家,NOUN
escultura,sculpture,雕塑,NOUN
escultórico,sculptural,雕塑的,ADJ
escupir,spit,吐,VERB
escurridizo,slippery,滑溜的,ADJ
escurrir,drain,沥干,VERB
escéptico,skeptical,怀疑的,ADJ
esfera,sphere,球体,NOUN
esforzarse,strive,努力,VERB
esfumarse,vanish,消失,VERB
esférico,spherical,球形的,ADJ
esfínter,sphincter,括约肌,NOUN
esgrima,fencing,击剑,NOUN
esgrimir,wield,挥舞,VERB
eslabón,link,环节,NOUN
eslogan,slogan,口号,NOUN
esmaltar,enamel,上釉,VERB
esmalte,enamel,釉,NOUN
esmero,care,细心,NOUN
esmirriado,puny,瘦弱的,ADJ
esnob,snob,势利的人,NOUN
esnobismo,snobbery,势利,NOUN
esotérico,esoteric,深奥的,ADJ
espacioso,spacious,宽敞的,ADJ
espadachín,swordsman,剑客,NOUN
espadín,small sword,细剑,NOUN
espantajo,scarecrow,稻草人,NOUN
espantapájaros,scarecrow,稻草人,NOUN
espantar,to scare,惊吓,VERB
espanto,fright,恐惧,NOUN
esparcir,to scatter,散布,VERB
espasmo,spasm,痉挛,NOUN
espasmódico,spasmodic,痉挛的,ADJ
especia,spice,香料,NOUN
especialización,specialization,专业化,NOUN
especificación,specification,规格,NOUN
especificar,to specify,具体说明,VERB
especimen,specimen,标本,NOUN
espectador,spectator,观众,NOUN
espectral,spectral,幽灵般的,ADJ
espectro,spectrum,光谱,NOUN
especulación,speculation,推测,NOUN
especular,to speculate,推测,VERB
espejismo,mirage,海市蜃楼,NOUN
espejuelo,spectacles,眼镜,NOUN
esperma,sperm,精子,NOUN
espesar,to thicken,变稠,VERB
espeso,thick,浓的,ADJ
espesor,thickness,厚度,NOUN
espesura,thicket,丛林,NOUN
espiar,to spy,监视,VERB
espigado,tall and slender,高挑的,ADJ
espigar,to glean,拾穗,VERB
espina,thorn,刺,NOUN
espinazo,spine,脊柱,NOUN
espinoso,thorny,多刺的,ADJ
espionaje,espionage,间谍活动,NOUN
espirar,to exhale,呼气,VERB
espiritado,inspired,受启发的,ADJ
espiritualidad,spirituality,灵性,NOUN
espirituoso,spirited,活泼的,ADJ
esplendor,splendor,辉煌,NOUN
espléndido,splendid,极好的,ADJ
espolear,to spur,激励,VERB
espoliar,to despoil,掠夺,VERB
espolio,spoliation,掠夺,NOUN
espolvorear,to sprinkle,撒,VERB
esponjoso,spongy,海绵状的,ADJ
esponsales,betrothal,订婚,NOUN
esportillo,small basket,小篮子,NOUN
esposar,to handcuff,给…戴手铐,VERB
espuma,foam,泡沫,NOUN
espumarajo,froth,泡沫,NOUN
espumoso,foamy,多泡沫的,ADJ
