Chinese_Lemma,English_Translation,Spanish_Translation,POS
看不起,to look down upon,despreciar,X
看来,apparently,al parecer,X
真实,true,verdadero,X
真理,truth,verdad,X
着凉,to catch cold,resfriarse,X
睁,to open (one's eyes),abrir (los ojos),X
瞎,blind,ciego,X
瞧,to look at,mirar,X
矛盾,contradictory,contradictorio,X
短信,text message,mensaje de texto,X
石头,stone,piedra,X
矿泉水,mineral spring water,agua mineral,X
砍,to chop,talar,X
破产,to go bankrupt,quebrar,X
破坏,destruction,destrucción,X
硬件,hardware,hardware,X
硬币,coin,moneda,X
确定,definite,definido,X
确认,to confirm,confirmar,X
碎,to break down,romperse,X
碰见,to run into,toparse con,X
磁带,magnetic tape,cinta magnética,X
礼拜天,Sunday,domingo,X
祖先,ancestor,antepasado,X
祖国,ancestral land CL:個|个[gè],tierra ancestral CL:個|个[gè],X
祝福,blessings,bendiciones,X
神秘,mysterious,misterioso,X
神经,nerve,nervio,X
神话,legend,mito,X
离婚,to divorce,divorciarse,X
私人,private,privado,X
秒,second (of time),segundo (de tiempo),X
秘书,secretary,secretario,X
秘密,secret,secreto,X
秩序,order (orderly),orden (ordenado),X
称,to weigh,pesar,X
称呼,to call,llamar,X
称赞,to praise,elogiar,X
移动,to move,mover,X
移民,to immigrate,emigrar,X
程序,procedures,procedimientos,X
程度,degree (level or extent),grado (nivel o extensión),X
税,taxes,impuestos,X
稳定,steady,estable,X
空闲,idle,ocioso,X
空间,space,espacio,X
突出,prominent,destacado,X
窗帘,window curtains,cortinas,X
立刻,forthwith,enseguida,X
立即,immediately,inmediatamente,X
立方,cube,cubo,X
竹子,bamboo,bambú,X
等于,to equal,equivaler a,X
等候,to wait,esperar,X
等待,to wait,esperar,X
答应,to promise,prometer,X
签字,to sign (a signature),firmar (una firma),X
简历,Curriculum Vitae (CV),currículum vítae (CV),X
简直,simply,simplemente,X
管子,tube,tubo,X
类,kind,clase,X
粒,grain,grano,X
粘贴,to stick,pegar,X
粮食,foodstuff,alimentos,X
精力,energy,energía,X
糊涂,muddled,confuso,X
糟糕,too bad,qué mal,X
系,to connect,atar,X
系统,system,sistema,X
系领带,to tie one's necktie,atarse la corbata,X
紧,tight,apretado,X
紧急,urgent,urgente,X
紫,purple,púrpura,X
繁荣,prosperous,próspero,X
纪录,record,récord,X
纪律,discipline,disciplina,X
纪念,to commemorate,conmemorar,X
纷纷,one after another,uno tras otro,X
组合,to assemble,ensamblar,X
细节,details,detalles,X
经典,the classics,los clásicos,X
经营,to engage in (business etc),dedicarse a (negocios etc),X
结合,to combine,combinar,X
结实,rugged,robusto,X
结构,structure,estructura,X
结论,conclusion,conclusión,X
结账,to pay the bill,pagar la cuenta,X
绕,to wind,enrollar,X
绝对,absolute,absoluto,X
统一,to unify,unificar,X
统治,to rule (a country),gobernar (un país),X
绳子,cord,cuerda,X
维护,to defend,defender,X
综合,comprehensive,integral,X
缓解,to blunt,aliviar,X
编辑,to edit,editar,X
缘故,reason,motivo,X
缩小,to reduce,reducir,X
缩短,to curtail,acortar,X
缺乏,shortage,escasez,X
罐头,tin,lata,X
罚款,(impose a) fine,(imponer una) multa,X
罪犯,criminal,delincuente / criminal,X
美术,art,arte,X
翅膀,wing,ala,X
翻,to turn over,voltear,X
老实,honest,honesto,X
老板,boss,jefe,X
老百姓,ordinary people,la gente común,X
老鼠,rat,rata,X
耽误,to delay,retrasar,X
联合,to combine,unir,X
聚会,party,fiesta,X
肌肉,muscle,músculo,X
股票,share,acción,X
肥皂,soap,jabón,X
肩膀,shoulder,hombro,X
肺,lung,pulmón,X
胃,stomach,estómago,X
胆小鬼,coward,cobarde,X
背,the back of a body or object,la espalda de un cuerpo u objeto,X
背景,background,fondo,X
胜利,victory,victoria,X
胡同,alley / hutong,callejón / hutong,X
胡说,to talk nonsense,decir tonterías,X
胡须,beard,barba,X
胳膊,arm,brazo,X
胶水,glue,pegamento,X
胸,chest,pecho,X
能干,capable,capaz,X
能源,energy,energía,X
脑袋,head,cabeza,X
脖子,neck,cuello,X
腰,waist,cintura,X
自从,since (a time),desde (un tiempo),X
自信,to have confidence in oneself,tener confianza en uno mismo,X
自动,automatic,automático,X
自愿,voluntary,voluntario,X
自由,freedom,libertad,X
自私,selfish,egoísta,X
自觉,conscious,consciente,X
自豪,(feel a sense of) pride,(sentir un sentido de) orgullo,X
臭,stench,hedor,X
至于,as for,en cuanto a,X
至今,so far,hasta ahora,X
舅舅,mother's brother,tío materno,X
舌头,tongue,lengua,X
舍不得,to hate to do sth,lamentar hacer algo,X
舒适,cozy,acogedor,X
良好,good,bueno,X
艰巨,arduous,arduo,X
艰苦,difficult,difícil,X
节,festival / holiday,fiesta / festival,X
节省,saving,ahorro,X
花生,peanut,cacahuete,X
苗条,slim,esbelto,X
英俊,handsome,guapo,X
英雄,hero,héroe,X
荣幸,honored,honrado,X
荣誉,honor,honor / honra,X
营业,to do business,operar,X
营养,nutrition,nutrición,X
落后,to fall behind,quedar rezagado,X
蔬菜,vegetables,verduras,X
薄,thin,delgado,X
虚心,modest,modesto,X
蛇,snake,serpiente,X
蜜蜂,bee,abeja,X
蜡烛,candle,vela,X
蝴蝶,butterfly,mariposa,X
融化,to melt,derretirse,X
行业,industry,sector,X
行为,action,comportamiento,X
行人,pedestrian,peatón,X
行动,operation,acción,X
补充,to replenish,reponer,X
表情,(facial) expression,expresión (facial),X
表明,to make clear,aclarar,X
表现,to show,mostrar,X
表面,surface,superficie,X
被子,quilt,edredón,X
装,adornment,adorno,X
装饰,to decorate,decorar,X
要不,otherwise,si no,X
要是,if,si,X
观察,to observe,observar,X
观念,notion,noción,X
观点,point of view,punto de vista,X
规则,rule,regla,X
规律,rule (e.g. of science),regla (p. ej. de la ciencia),X
规模,scale,escala,X
规矩,lit. compass and set square,lit. compás y escuadra (norma),X
角度,angle,ángulo,X
角色,role,papel,X
解放,to liberate,liberar,X
解说员,commentator,comentarista,X
计算,to count,calcular,X
训练,to train,entrenar,X
议论,to comment,comentar,X
记录,to record,registrar,X
记忆,to remember,recordar,X
讲座,a course of lectures,un ciclo de conferencias,X
讲究,to pay particular attention to,prestar especial atención a,X
论文,paper,trabajo,X
讽刺,to satirize,satirizar,X
设备,equipment,equipo,X
设施,facilities,instalaciones,X
设计,plan,diseño,X
证件,paperwork,documentos,X
证据,evidence,evidencia,X
评价,to evaluate,evaluar,X
诊断,diagnosis,diagnóstico,X
试卷,examination paper,examen,X
诗,poem,poema,X
诚恳,sincere,sincero,X
话题,subject (of a talk or conversation),tema (de una conversación),X
询问,to inquire,preguntar,X
语气,tone,tono,X
说不定,can't say for sure,no se puede decir con seguridad,X
说服,to persuade,persuadir,X
请求,request,petición,X
课程,course,curso,X
调整,to adjust,ajustar,X
调皮,naughty,travieso,X
谈判,to negotiate,negociar,X
谜语,riddle,acertijo,X
谦虚,modest,modesto,X
谨慎,cautious,cauto,X
豆腐,tofu,tofu,X
象征,emblem,símbolo,X
象棋,Chinese chess,ajedrez chino,X
豪华,luxurious,lujoso,X
贡献,to contribute,contribuir,X
财产,property,propiedad,X
责备,to blame,culpar,X
账户,bank account,cuenta bancaria,X
贷款,a loan,un préstamo,X
贸易,(commercial) trade,comercio (comercial),X
费用,cost,coste,X
资料,material / data,material / documentación,X
资格,qualifications,cualificaciones,X
资源,natural resource (such as water or minerals),recurso natural (como agua o minerales),X
资金,funds,fondos,X
赔偿,to compensate,compensar,X
赞成,to approve,aprobar,X
赞美,to admire,alabar,X
赶快,at once,enseguida,X
赶紧,hurriedly,apresuradamente,X
趁,to avail oneself of,aprovechar,X
趋势,trend,tendencia,X
踩,to step on,pisar,X
蹲,to crouch,acuclillarse,X
身份,identity,identidad,X
身材,stature,complexión,X
躲藏,to hide oneself,esconderse,X
车厢,carriage,vagón,X
车库,garage,garaje,X
转变,to change,cambiar,X
转告,to pass on,transmitir,X
轮流,to alternate,turnarse,X
软件,(computer) software,software (informático),X
轻视,contempt,desprecio,X
辅导,to coach,instruir,X
输入,to import,introducir,X
辞职,to resign,dimitir,X
辣椒,hot pepper,guindilla,X
辩论,debate,debate / discusión,X
达到,to reach,alcanzar,X
迅速,rapid,rápido,X
过分,excessive,excesivo,X
过敏,to be allergic,ser alérgico,X
过期,to be overdue,estar vencido,X
迎接,to meet,recibir,X
运气,luck (good or bad),suerte (buena o mala),X
运用,to use,utilizar,X
运输,transport,transporte,X
近代,modern times,época moderna,X
进口,to import,importar,X
进步,progress,progreso,X
违反,to violate (a law),violar (una ley),X
连忙,promptly,apresuradamente,X
连续剧,serialized drama,serie dramática,X
迫切,urgent,urgente,X
迷路,to lose the way,perderse,X
追求,to pursue (a goal etc) stubbornly,perseguir (un objetivo etc) con tenacidad,X
退,to retreat,retirarse,X
退休,to retire,jubilarse,X
退步,to do less well than before,empeorar,X
逃,to escape,escapar,X
逃避,to escape,evadir,X
选举,to elect,elegir,X
透明,transparent,transparente,X
逐步,progressively,gradualmente,X
递,to hand over,entregar,X
逗,to stay,quedarse,X
通常,regular,normalmente,X
通讯,communications,comunicaciones,X
造成,to bring about,causar,X
逻辑,logic (loanword),lógica (préstamo),X
道德,virtue,virtud,X
道理,reason,razón,X
遗憾,regret,pesar,X
遵守,to comply with,cumplir con,X
避免,to avert,evitar,X
邮局,post office,oficina de correos,X
郊区,suburban district,barrio periférico,X
部门,department,departamento,X
配合,matching,coordinación,X
酒吧,bar,bar,X
酱油,soy sauce,salsa de soja,X
醉,intoxicated,ebrio,X
醋,vinegar,vinagre,X
采取,to adopt or carry out (measures,adoptar o llevar a cabo (medidas),X
采访,to interview,entrevistar,X
重,heavy,pesado,X
重复,to repeat,repetir,X
重量,weight,peso,X
金属,metal,metal,X
针对,to be directed against,ir dirigido contra,X
钓,to fish with a hook and bait,pescar con anzuelo y cebo,X
钟,clock,reloj,X
钢铁,steel,acero,X
铃,(small) bell,campana (pequeña),X
铜,copper (chemistry),cobre (química),X
银,silver,plata,X
销售,to sell,vender,X
锁,to lock up,cerrar con llave,X
锅,pot,olla,X
错误,error / mistake,error / equivocación,X
键盘,keyboard,teclado,X
长途,long distance,larga distancia,X
闪电,lightning,relámpago,X
问候,to give one's respects,enviar saludos,X
闯,to rush,precipitarse,X
闻,to hear,oler,X
阳台,balcony,balcón,X
阵,disposition of troops,formación de tropas,X
阶段,stage,etapa,X
阻止,to prevent,impedir,X
陆地,dry land (as opposed to the sea),tierra firme (por oposición al mar),X
陆续,in turn,sucesivamente,X
陌生,strange,desconocido,X
降落,to descend,descender,X
除,to get rid of,deshacerse de,X
除夕,(New Year's) Eve,Nochevieja,X
除非,only if (...,a menos que (...,X
随时,at any time,en cualquier momento,X
隔壁,next door,al lado,X
难怪,(it's) no wonder (that...),(es) comprensible (que...),X
难看,ugly,feo,X
雄伟,grand,majestuoso,X
集中,to concentrate,concentrar,X
集体,collective,colectivo,X
雇佣,to employ,emplear,X
零件,part,pieza,X
零钱,change (of money),cambio (de dinero),X
零食,between-meal nibbles,aperitivos,X
雷,thunder,trueno,X
雾,fog,niebla,X
露,dew,rocío,X
青,nature's color,color natural,X
青少年,adolescent,adolescente,X
青春,youth,juventud,X
非,to not be,no ser,X
面临,to face sth,enfrentarse a algo,X
面对,to confront,enfrentarse a,X
面积,area (of a floor,área (de una superficie,X
革命,revolution,revolución,X
鞭炮,firecrackers,petardos,X
顶,apex,ápice,X
项,back of neck,nuca,X
项目,item,artículo,X
项链,necklace,collar,X
预报,forecast,pronóstico,X
预订,to place an order,reservar,X
预防,to prevent,prevenir,X
领域,domain,dominio,X
领导,lead,liderar,X
频道,frequency,canal,X
颗,classifier for small spheres,clasificador para pequeñas esferas,X
题目,subject,tema,X
风俗,social custom,costumbre social,X
风格,style,estilo,X
风险,risk,riesgo,X
飘,to float,flotar,X
食物,food,comida,X
餐厅,dining hall,comedor,X
馒头,steamed roll,bollo al vapor,X
驾驶,to pilot (ship,pilotar (un barco,X
骂,to scold,regañar,X
骨头,bone,hueso,X
高档,superior quality,alta calidad,X
高速,high speed,alta velocidad,X
魅力,charm,encanto,X
鲜艳,bright-colored,de colores vivos,X
鸽子,pigeon,paloma,X
麦克风,microphone (loanword),micrófono (préstamo),X
黄瓜,cucumber,pepino,X
黄金,gold,oro,X
鼓舞,heartening (news),alentador (noticias),X
鼠标,mouse (computing),ratón (informática),X
龙,dragon,dragón,X
