German_Lemma,Spanish_Translation,Source
stopp,,Frequency (Subtitle)
übel,,Frequency (Subtitle)
schlampe,,Frequency (Subtitle)
schöner,,Frequency (Subtitle)
unsinn,,Frequency (Subtitle)
pro,,Frequency (Subtitle)
davor,,Frequency (Subtitle)
richard,,Frequency (Subtitle)
gespielt,,Frequency (Subtitle)
to,,Frequency (Subtitle)
schwierigkeiten,,Frequency (Subtitle)
hälfte,,Frequency (Subtitle)
kannte,,Frequency (Subtitle)
stehe,,Frequency (Subtitle)
maria,,Frequency (Subtitle)
planeten,,Frequency (Subtitle)
anna,,Frequency (Subtitle)
verhaftet,,Frequency (Subtitle)
deal,,Frequency (Subtitle)
seines,,Frequency (Subtitle)
irgendwelche,,Frequency (Subtitle)
händen,,Frequency (Subtitle)
versteht,,Frequency (Subtitle)
wochenende,,Frequency (Subtitle)
worüber,,Frequency (Subtitle)
nehmt,,Frequency (Subtitle)
martin,,Frequency (Subtitle)
witze,,Frequency (Subtitle)
beine,,Frequency (Subtitle)
nachts,,Frequency (Subtitle)
eurer,,Frequency (Subtitle)
prinzessin,,Frequency (Subtitle)
klingelt,,Frequency (Subtitle)
echte,,Frequency (Subtitle)
gleichen,,Frequency (Subtitle)
wünsche,,Frequency (Subtitle)
schätzchen,,Frequency (Subtitle)
seh,,Frequency (Subtitle)
nah,,Frequency (Subtitle)
jane,,Frequency (Subtitle)
gewartet,,Frequency (Subtitle)
kümmert,,Frequency (Subtitle)
rennen,,Frequency (Subtitle)
lied,,Frequency (Subtitle)
eier,,Frequency (Subtitle)
welchen,,Frequency (Subtitle)
sorry,,Frequency (Subtitle)
schaut,,Frequency (Subtitle)
hielt,,Frequency (Subtitle)
falle,,Frequency (Subtitle)
drink,,Frequency (Subtitle)
clark,,Frequency (Subtitle)
bewegt,,Frequency (Subtitle)
mitten,,Frequency (Subtitle)
bullen,,Frequency (Subtitle)
neuer,,Frequency (Subtitle)
trägt,,Frequency (Subtitle)
freunden,,Frequency (Subtitle)
deren,,Frequency (Subtitle)
halb,,Frequency (Subtitle)
verpasst,,Frequency (Subtitle)
sprach,,Frequency (Subtitle)
armen,,Frequency (Subtitle)
wusstest,,Frequency (Subtitle)
fanden,,Frequency (Subtitle)
träume,,Frequency (Subtitle)
schläft,,Frequency (Subtitle)
kostet,,Frequency (Subtitle)
spiele,,Frequency (Subtitle)
unseres,,Frequency (Subtitle)
johnny,,Frequency (Subtitle)
tiere,,Frequency (Subtitle)
aha,,Frequency (Subtitle)
eingeladen,,Frequency (Subtitle)
genannt,,Frequency (Subtitle)
ray,,Frequency (Subtitle)
geändert,,Frequency (Subtitle)
thomas,,Frequency (Subtitle)
lächerlich,,Frequency (Subtitle)
geschlagen,,Frequency (Subtitle)
schätzen,,Frequency (Subtitle)
männern,,Frequency (Subtitle)
beginnt,,Frequency (Subtitle)
größte,,Frequency (Subtitle)
besonderes,,Frequency (Subtitle)
besteht,,Frequency (Subtitle)
reichen,,Frequency (Subtitle)
robert,,Frequency (Subtitle)
worum,,Frequency (Subtitle)
nachgedacht,,Frequency (Subtitle)
sowas,,Frequency (Subtitle)
patienten,,Frequency (Subtitle)
tötet,,Frequency (Subtitle)
singt,,Frequency (Subtitle)
schreien,,Frequency (Subtitle)
daniel,,Frequency (Subtitle)
sahen,,Frequency (Subtitle)
lhre,,Frequency (Subtitle)
angriff,,Frequency (Subtitle)
treten,,Frequency (Subtitle)
trifft,,Frequency (Subtitle)
polizist,,Frequency (Subtitle)
blumen,,Frequency (Subtitle)
neuigkeiten,,Frequency (Subtitle)
bringst,,Frequency (Subtitle)
rief,,Frequency (Subtitle)
schuss,,Frequency (Subtitle)
konntest,,Frequency (Subtitle)
schafft,,Frequency (Subtitle)
spreche,,Frequency (Subtitle)
eddie,,Frequency (Subtitle)
bekommst,,Frequency (Subtitle)
verbringen,,Frequency (Subtitle)
bücher,,Frequency (Subtitle)
tommy,,Frequency (Subtitle)
bilder,,Frequency (Subtitle)
claire,,Frequency (Subtitle)
dessen,,Frequency (Subtitle)
muß,,Frequency (Subtitle)
engel,,Frequency (Subtitle)
fang,,Frequency (Subtitle)
ohren,,Frequency (Subtitle)
au,,Frequency (Subtitle)
beeil,,Frequency (Subtitle)
brüder,,Frequency (Subtitle)
zeitpunkt,,Frequency (Subtitle)
keinem,,Frequency (Subtitle)
mitgebracht,,Frequency (Subtitle)
seufzt,,Frequency (Subtitle)
date,,Frequency (Subtitle)
haufen,,Frequency (Subtitle)
entkommen,,Frequency (Subtitle)
bobby,,Frequency (Subtitle)
weißen,,Frequency (Subtitle)
wart,,Frequency (Subtitle)
irre,,Frequency (Subtitle)
gestellt,,Frequency (Subtitle)
gebrochen,,Frequency (Subtitle)
fragt,,Frequency (Subtitle)
maul,,Frequency (Subtitle)
ryan,,Frequency (Subtitle)
red,,Frequency (Subtitle)
zweiten,,Frequency (Subtitle)
hinaus,,Frequency (Subtitle)
vorhin,,Frequency (Subtitle)
gemeint,,Frequency (Subtitle)
gebaut,,Frequency (Subtitle)
hasst,,Frequency (Subtitle)
versteh,,Frequency (Subtitle)
zeige,,Frequency (Subtitle)
traf,,Frequency (Subtitle)
eigenes,,Frequency (Subtitle)
fragte,,Frequency (Subtitle)
jason,,Frequency (Subtitle)
befehle,,Frequency (Subtitle)
schmerzen,,Frequency (Subtitle)
erklärt,,Frequency (Subtitle)
steve,,Frequency (Subtitle)
gelaufen,,Frequency (Subtitle)
schwarze,,Frequency (Subtitle)
töte,,Frequency (Subtitle)
mädels,,Frequency (Subtitle)
heilige,,Frequency (Subtitle)
laura,,Frequency (Subtitle)
mannes,,Frequency (Subtitle)
wahnsinn,,Frequency (Subtitle)
nee,,Frequency (Subtitle)
club,,Frequency (Subtitle)
geschlossen,,Frequency (Subtitle)
hintern,,Frequency (Subtitle)
is,,Frequency (Subtitle)
fiel,,Frequency (Subtitle)
gehalten,,Frequency (Subtitle)
dorthin,,Frequency (Subtitle)
steig,,Frequency (Subtitle)
überprüfen,,Frequency (Subtitle)
besseres,,Frequency (Subtitle)
gebt,,Frequency (Subtitle)
anscheinend,,Frequency (Subtitle)
bessere,,Frequency (Subtitle)
isst,,Frequency (Subtitle)
nem,,Frequency (Subtitle)
chuck,,Frequency (Subtitle)
knast,,Frequency (Subtitle)
entschuldigt,,Frequency (Subtitle)
gilt,,Frequency (Subtitle)
daraus,,Frequency (Subtitle)
erstes,,Frequency (Subtitle)
rachel,,Frequency (Subtitle)
prima,,Frequency (Subtitle)
brauchte,,Frequency (Subtitle)
dean,,Frequency (Subtitle)
liebes,,Frequency (Subtitle)
schaffst,,Frequency (Subtitle)
nachdenken,,Frequency (Subtitle)
tor,,Frequency (Subtitle)
pläne,,Frequency (Subtitle)
jagen,,Frequency (Subtitle)
runde,,Frequency (Subtitle)
deutsche,,Frequency (Subtitle)
taten,,Frequency (Subtitle)
lord,,Frequency (Subtitle)
commander,,Frequency (Subtitle)
gezeigt,,Frequency (Subtitle)
hinterlassen,,Frequency (Subtitle)
getrunken,,Frequency (Subtitle)
wahre,,Frequency (Subtitle)
luke,,Frequency (Subtitle)
kunden,,Frequency (Subtitle)
kate,,Frequency (Subtitle)
zeugen,,Frequency (Subtitle)
geplant,,Frequency (Subtitle)
amanda,,Frequency (Subtitle)
erreicht,,Frequency (Subtitle)
stein,,Frequency (Subtitle)
weiße,,Frequency (Subtitle)
sprichst,,Frequency (Subtitle)
größer,,Frequency (Subtitle)
schickt,,Frequency (Subtitle)
city,,Frequency (Subtitle)
prinz,,Frequency (Subtitle)
behandelt,,Frequency (Subtitle)
tote,,Frequency (Subtitle)
überlegen,,Frequency (Subtitle)
karten,,Frequency (Subtitle)
it,,Frequency (Subtitle)
welchem,,Frequency (Subtitle)
roger,,Frequency (Subtitle)
carter,,Frequency (Subtitle)
emily,,Frequency (Subtitle)
mami,,Frequency (Subtitle)
verschwindet,,Frequency (Subtitle)
lautet,,Frequency (Subtitle)
küssen,,Frequency (Subtitle)
sprich,,Frequency (Subtitle)
längst,,Frequency (Subtitle)
fängt,,Frequency (Subtitle)
gingen,,Frequency (Subtitle)
erlaubt,,Frequency (Subtitle)
einzigen,,Frequency (Subtitle)
schmeckt,,Frequency (Subtitle)
normalerweise,,Frequency (Subtitle)
schwarzen,,Frequency (Subtitle)
rauf,,Frequency (Subtitle)
walter,,Frequency (Subtitle)
halbe,,Frequency (Subtitle)
dan,,Frequency (Subtitle)
geschieht,,Frequency (Subtitle)
einiges,,Frequency (Subtitle)
entdeckt,,Frequency (Subtitle)
morgens,,Frequency (Subtitle)
schlechter,,Frequency (Subtitle)
vollkommen,,Frequency (Subtitle)
gelogen,,Frequency (Subtitle)
verfolgt,,Frequency (Subtitle)
college,,Frequency (Subtitle)
weiteren,,Frequency (Subtitle)
chris,,Frequency (Subtitle)
louis,,Frequency (Subtitle)
eh,,Frequency (Subtitle)
schwert,,Frequency (Subtitle)
hunde,,Frequency (Subtitle)
steigen,,Frequency (Subtitle)
verdammter,,Frequency (Subtitle)
dürfte,,Frequency (Subtitle)
riecht,,Frequency (Subtitle)
labor,,Frequency (Subtitle)
bat,,Frequency (Subtitle)
tim,,Frequency (Subtitle)
arthur,,Frequency (Subtitle)
eurem,,Frequency (Subtitle)
füße,,Frequency (Subtitle)
stehst,,Frequency (Subtitle)
erschießen,,Frequency (Subtitle)
versuchte,,Frequency (Subtitle)
gäste,,Frequency (Subtitle)
erwähnt,,Frequency (Subtitle)
van,,Frequency (Subtitle)
junger,,Frequency (Subtitle)
autos,,Frequency (Subtitle)
abgesehen,,Frequency (Subtitle)
vertraut,,Frequency (Subtitle)
hieß,,Frequency (Subtitle)
wirkt,,Frequency (Subtitle)
idioten,,Frequency (Subtitle)
netter,,Frequency (Subtitle)
angegriffen,,Frequency (Subtitle)
geschichten,,Frequency (Subtitle)
wahnsinnig,,Frequency (Subtitle)
lily,,Frequency (Subtitle)
england,,Frequency (Subtitle)
entführt,,Frequency (Subtitle)
mistkerl,,Frequency (Subtitle)
solchen,,Frequency (Subtitle)
ner,,Frequency (Subtitle)
geschossen,,Frequency (Subtitle)
lager,,Frequency (Subtitle)
polizisten,,Frequency (Subtitle)
legt,,Frequency (Subtitle)
amerikaner,,Frequency (Subtitle)
schwarz,,Frequency (Subtitle)
fern,,Frequency (Subtitle)
fick,,Frequency (Subtitle)
scherz,,Frequency (Subtitle)
san,,Frequency (Subtitle)
erzählte,,Frequency (Subtitle)
wichser,,Frequency (Subtitle)
jake,,Frequency (Subtitle)
womit,,Frequency (Subtitle)
geschäfte,,Frequency (Subtitle)
my,,Frequency (Subtitle)
kapiert,,Frequency (Subtitle)
nachher,,Frequency (Subtitle)
verlangt,,Frequency (Subtitle)
schlägt,,Frequency (Subtitle)
überzeugt,,Frequency (Subtitle)
irgendjemand,,Frequency (Subtitle)
rot,,Frequency (Subtitle)
soldat,,Frequency (Subtitle)
vorbereitet,,Frequency (Subtitle)
geschah,,Frequency (Subtitle)
stehlen,,Frequency (Subtitle)
rechte,,Frequency (Subtitle)
bemerkt,,Frequency (Subtitle)
stört,,Frequency (Subtitle)
beruhige,,Frequency (Subtitle)
pferde,,Frequency (Subtitle)
arbeitest,,Frequency (Subtitle)
zählt,,Frequency (Subtitle)
fragst,,Frequency (Subtitle)
emma,,Frequency (Subtitle)
woran,,Frequency (Subtitle)
geblieben,,Frequency (Subtitle)
me,,Frequency (Subtitle)
ted,,Frequency (Subtitle)
nette,,Frequency (Subtitle)
test,,Frequency (Subtitle)
mister,,Frequency (Subtitle)
dadurch,,Frequency (Subtitle)
wichtiger,,Frequency (Subtitle)
kevin,,Frequency (Subtitle)
scott,,Frequency (Subtitle)
akte,,Frequency (Subtitle)
erzähle,,Frequency (Subtitle)
lösen,,Frequency (Subtitle)
bravo,,Frequency (Subtitle)
verfolgen,,Frequency (Subtitle)
such,,Frequency (Subtitle)
nerven,,Frequency (Subtitle)
officer,,Frequency (Subtitle)
andy,,Frequency (Subtitle)
langer,,Frequency (Subtitle)
ziehe,,Frequency (Subtitle)
zweimal,,Frequency (Subtitle)
washington,,Frequency (Subtitle)
kollegen,,Frequency (Subtitle)
doc,,Frequency (Subtitle)
fass,,Frequency (Subtitle)
szene,,Frequency (Subtitle)
robin,,Frequency (Subtitle)
bösen,,Frequency (Subtitle)
schaffe,,Frequency (Subtitle)
wache,,Frequency (Subtitle)
neulich,,Frequency (Subtitle)
alice,,Frequency (Subtitle)
lauter,,Frequency (Subtitle)
spannende,,Frequency (Subtitle)
unschuldig,,Frequency (Subtitle)
folgt,,Frequency (Subtitle)
weshalb,,Frequency (Subtitle)
geheiratet,,Frequency (Subtitle)
woanders,,Frequency (Subtitle)
wurdest,,Frequency (Subtitle)
verhindern,,Frequency (Subtitle)
rom,,Frequency (Subtitle)
kräfte,,Frequency (Subtitle)
selbstverständlich,,Frequency (Subtitle)
hassen,,Frequency (Subtitle)
pete,,Frequency (Subtitle)
geglaubt,,Frequency (Subtitle)
trink,,Frequency (Subtitle)
gefeuert,,Frequency (Subtitle)
erinnerungen,,Frequency (Subtitle)
müssten,,Frequency (Subtitle)
suchst,,Frequency (Subtitle)
fährst,,Frequency (Subtitle)
schreibt,,Frequency (Subtitle)
schulden,,Frequency (Subtitle)
hinein,,Frequency (Subtitle)
simon,,Frequency (Subtitle)
braut,,Frequency (Subtitle)
gebraucht,,Frequency (Subtitle)
peinlich,,Frequency (Subtitle)
klappt,,Frequency (Subtitle)
geheimnisse,,Frequency (Subtitle)
joey,,Frequency (Subtitle)
umsonst,,Frequency (Subtitle)
kennenzulernen,,Frequency (Subtitle)
überlebt,,Frequency (Subtitle)
nirgendwo,,Frequency (Subtitle)
meilen,,Frequency (Subtitle)
einfacher,,Frequency (Subtitle)
blöde,,Frequency (Subtitle)
ergibt,,Frequency (Subtitle)
schande,,Frequency (Subtitle)
fuck,,Frequency (Subtitle)
fühlte,,Frequency (Subtitle)
jenny,,Frequency (Subtitle)
satt,,Frequency (Subtitle)
blödsinn,,Frequency (Subtitle)
adam,,Frequency (Subtitle)
lisa,,Frequency (Subtitle)
pfund,,Frequency (Subtitle)
handeln,,Frequency (Subtitle)
lois,,Frequency (Subtitle)
desto,,Frequency (Subtitle)
toller,,Frequency (Subtitle)
schatten,,Frequency (Subtitle)
eric,,Frequency (Subtitle)
chief,,Frequency (Subtitle)
hingehen,,Frequency (Subtitle)
verboten,,Frequency (Subtitle)
gäbe,,Frequency (Subtitle)
leichen,,Frequency (Subtitle)
high,,Frequency (Subtitle)
beendet,,Frequency (Subtitle)
verflucht,,Frequency (Subtitle)
geb,,Frequency (Subtitle)
enttäuscht,,Frequency (Subtitle)
klopfen,,Frequency (Subtitle)
spuren,,Frequency (Subtitle)
seiten,,Frequency (Subtitle)
gezogen,,Frequency (Subtitle)
brian,,Frequency (Subtitle)
knochen,,Frequency (Subtitle)
schick,,Frequency (Subtitle)
getrennt,,Frequency (Subtitle)
trage,,Frequency (Subtitle)
nachbarn,,Frequency (Subtitle)
bestes,,Frequency (Subtitle)
elizabeth,,Frequency (Subtitle)
fuhr,,Frequency (Subtitle)
verlässt,,Frequency (Subtitle)
dennoch,,Frequency (Subtitle)
dreh,,Frequency (Subtitle)
bester,,Frequency (Subtitle)
schicke,,Frequency (Subtitle)
vergeben,,Frequency (Subtitle)
trotz,,Frequency (Subtitle)
ändert,,Frequency (Subtitle)
passierte,,Frequency (Subtitle)
herzlichen,,Frequency (Subtitle)
hexe,,Frequency (Subtitle)
jerry,,Frequency (Subtitle)
pistole,,Frequency (Subtitle)
saß,,Frequency (Subtitle)
dreht,,Frequency (Subtitle)
liebte,,Frequency (Subtitle)
street,,Frequency (Subtitle)
eifersüchtig,,Frequency (Subtitle)
derjenige,,Frequency (Subtitle)
leo,,Frequency (Subtitle)
zähne,,Frequency (Subtitle)
beobachtet,,Frequency (Subtitle)
gentlemen,,Frequency (Subtitle)
helft,,Frequency (Subtitle)
fliegt,,Frequency (Subtitle)
feinde,,Frequency (Subtitle)
william,,Frequency (Subtitle)
zulassen,,Frequency (Subtitle)
schnappen,,Frequency (Subtitle)
komplett,,Frequency (Subtitle)
bewusst,,Frequency (Subtitle)
deutschen,,Frequency (Subtitle)
voraus,,Frequency (Subtitle)
sterbe,,Frequency (Subtitle)
solltet,,Frequency (Subtitle)
einander,,Frequency (Subtitle)
fred,,Frequency (Subtitle)
erlebt,,Frequency (Subtitle)
weiterhin,,Frequency (Subtitle)
stärker,,Frequency (Subtitle)
konzentrieren,,Frequency (Subtitle)
angeht,,Frequency (Subtitle)
selben,,Frequency (Subtitle)
übersetzt,,Frequency (Subtitle)
verrückte,,Frequency (Subtitle)
lch,,Frequency (Subtitle)
king,,Frequency (Subtitle)
begann,,Frequency (Subtitle)
angenommen,,Frequency (Subtitle)
weitermachen,,Frequency (Subtitle)
echter,,Frequency (Subtitle)
jackson,,Frequency (Subtitle)
mitgenommen,,Frequency (Subtitle)
ideen,,Frequency (Subtitle)
aufgeregt,,Frequency (Subtitle)
selbstmord,,Frequency (Subtitle)
dumme,,Frequency (Subtitle)
zurückkommen,,Frequency (Subtitle)
irgendein,,Frequency (Subtitle)
phil,,Frequency (Subtitle)
schlage,,Frequency (Subtitle)
handelt,,Frequency (Subtitle)
treffe,,Frequency (Subtitle)
verliert,,Frequency (Subtitle)
irgendeine,,Frequency (Subtitle)
betrifft,,Frequency (Subtitle)
gehofft,,Frequency (Subtitle)
kennengelernt,,Frequency (Subtitle)
schlimmste,,Frequency (Subtitle)
trottel,,Frequency (Subtitle)
immerhin,,Frequency (Subtitle)
mehrere,,Frequency (Subtitle)
erwarte,,Frequency (Subtitle)
mochte,,Frequency (Subtitle)
zählen,,Frequency (Subtitle)
innerhalb,,Frequency (Subtitle)
matt,,Frequency (Subtitle)
schwestern,,Frequency (Subtitle)
alan,,Frequency (Subtitle)
schlau,,Frequency (Subtitle)
barry,,Frequency (Subtitle)
spielst,,Frequency (Subtitle)
oliver,,Frequency (Subtitle)
englisch,,Frequency (Subtitle)
song,,Frequency (Subtitle)
schien,,Frequency (Subtitle)
gewinnt,,Frequency (Subtitle)
älter,,Frequency (Subtitle)
merkwürdig,,Frequency (Subtitle)
judy,,Frequency (Subtitle)
vermisse,,Frequency (Subtitle)
tritt,,Frequency (Subtitle)
trauen,,Frequency (Subtitle)
präsidenten,,Frequency (Subtitle)
trick,,Frequency (Subtitle)
harvey,,Frequency (Subtitle)
doug,,Frequency (Subtitle)
roten,,Frequency (Subtitle)
überlegt,,Frequency (Subtitle)
größten,,Frequency (Subtitle)
zwölf,,Frequency (Subtitle)
schrieb,,Frequency (Subtitle)
reinkommen,,Frequency (Subtitle)
killer,,Frequency (Subtitle)
antun,,Frequency (Subtitle)
dieselbe,,Frequency (Subtitle)
möglicherweise,,Frequency (Subtitle)
definitiv,,Frequency (Subtitle)
locker,,Frequency (Subtitle)
ed,,Frequency (Subtitle)
vincent,,Frequency (Subtitle)
ums,,Frequency (Subtitle)
abends,,Frequency (Subtitle)
fing,,Frequency (Subtitle)
hure,,Frequency (Subtitle)
familien,,Frequency (Subtitle)
lebendig,,Frequency (Subtitle)
heiligen,,Frequency (Subtitle)
knapp,,Frequency (Subtitle)
überprüft,,Frequency (Subtitle)
gesetzt,,Frequency (Subtitle)
jederzeit,,Frequency (Subtitle)
kompliziert,,Frequency (Subtitle)
amy,,Frequency (Subtitle)
stich,,Frequency (Subtitle)
tode,,Frequency (Subtitle)
wundervoll,,Frequency (Subtitle)
kerle,,Frequency (Subtitle)
begraben,,Frequency (Subtitle)
stoppen,,Frequency (Subtitle)
hoheit,,Frequency (Subtitle)
riesen,,Frequency (Subtitle)
rote,,Frequency (Subtitle)
liest,,Frequency (Subtitle)
wichtige,,Frequency (Subtitle)
aufmachen,,Frequency (Subtitle)
kelly,,Frequency (Subtitle)
sexy,,Frequency (Subtitle)
grace,,Frequency (Subtitle)
big,,Frequency (Subtitle)
story,,Frequency (Subtitle)
madam,,Frequency (Subtitle)
leichter,,Frequency (Subtitle)
halben,,Frequency (Subtitle)
filme,,Frequency (Subtitle)
priester,,Frequency (Subtitle)
herauszufinden,,Frequency (Subtitle)
dritte,,Frequency (Subtitle)
inzwischen,,Frequency (Subtitle)
larry,,Frequency (Subtitle)
sitze,,Frequency (Subtitle)
machten,,Frequency (Subtitle)
geklaut,,Frequency (Subtitle)
helden,,Frequency (Subtitle)
susan,,Frequency (Subtitle)
hä,,Frequency (Subtitle)
usa,,Frequency (Subtitle)
fälle,,Frequency (Subtitle)
selten,,Frequency (Subtitle)
anrufe,,Frequency (Subtitle)
unterschreiben,,Frequency (Subtitle)
julia,,Frequency (Subtitle)
mrs,,Frequency (Subtitle)
lügner,,Frequency (Subtitle)
endet,,Frequency (Subtitle)
dave,,Frequency (Subtitle)
schreibe,,Frequency (Subtitle)
verhaften,,Frequency (Subtitle)
samstag,,Frequency (Subtitle)
amen,,Frequency (Subtitle)
marie,,Frequency (Subtitle)
abhauen,,Frequency (Subtitle)
chaos,,Frequency (Subtitle)
lebst,,Frequency (Subtitle)
tolles,,Frequency (Subtitle)
anhalten,,Frequency (Subtitle)
fremden,,Frequency (Subtitle)
akzeptieren,,Frequency (Subtitle)
ärzte,,Frequency (Subtitle)
dingen,,Frequency (Subtitle)
umgehen,,Frequency (Subtitle)
gesamte,,Frequency (Subtitle)
hübsche,,Frequency (Subtitle)
ertragen,,Frequency (Subtitle)
kiste,,Frequency (Subtitle)
brennt,,Frequency (Subtitle)
teile,,Frequency (Subtitle)
landen,,Frequency (Subtitle)
straßen,,Frequency (Subtitle)
aufgenommen,,Frequency (Subtitle)
gerufen,,Frequency (Subtitle)
blieb,,Frequency (Subtitle)
vertraue,,Frequency (Subtitle)
entspann,,Frequency (Subtitle)
tschüs,,Frequency (Subtitle)
babys,,Frequency (Subtitle)
zog,,Frequency (Subtitle)
iss,,Frequency (Subtitle)
herrgott,,Frequency (Subtitle)
echten,,Frequency (Subtitle)
springen,,Frequency (Subtitle)
nackt,,Frequency (Subtitle)
existiert,,Frequency (Subtitle)
gezwungen,,Frequency (Subtitle)
perfekte,,Frequency (Subtitle)
erzählst,,Frequency (Subtitle)
bastard,,Frequency (Subtitle)
schlechten,,Frequency (Subtitle)
hank,,Frequency (Subtitle)
steigt,,Frequency (Subtitle)
on,,Frequency (Subtitle)
carl,,Frequency (Subtitle)
gekriegt,,Frequency (Subtitle)
trug,,Frequency (Subtitle)
rate,,Frequency (Subtitle)
papiere,,Frequency (Subtitle)
abgeschlossen,,Frequency (Subtitle)
schnauze,,Frequency (Subtitle)
jeff,,Frequency (Subtitle)
jedoch,,Frequency (Subtitle)
beten,,Frequency (Subtitle)
verbunden,,Frequency (Subtitle)
sprachen,,Frequency (Subtitle)
verräter,,Frequency (Subtitle)
wichtigste,,Frequency (Subtitle)
prost,,Frequency (Subtitle)
aufgehört,,Frequency (Subtitle)
kleider,,Frequency (Subtitle)
bestellt,,Frequency (Subtitle)
herkommen,,Frequency (Subtitle)
wild,,Frequency (Subtitle)
nenne,,Frequency (Subtitle)
angesehen,,Frequency (Subtitle)
trennen,,Frequency (Subtitle)
meins,,Frequency (Subtitle)
angekommen,,Frequency (Subtitle)
verwirrt,,Frequency (Subtitle)
akten,,Frequency (Subtitle)
riskieren,,Frequency (Subtitle)
victor,,Frequency (Subtitle)
find,,Frequency (Subtitle)
erkannt,,Frequency (Subtitle)
beerdigung,,Frequency (Subtitle)
weisst,,Frequency (Subtitle)
möge,,Frequency (Subtitle)
stellte,,Frequency (Subtitle)
wege,,Frequency (Subtitle)
schritte,,Frequency (Subtitle)
gibts,,Frequency (Subtitle)
gemeldet,,Frequency (Subtitle)
hilfst,,Frequency (Subtitle)
weint,,Frequency (Subtitle)
vernichten,,Frequency (Subtitle)
chicago,,Frequency (Subtitle)
ellen,,Frequency (Subtitle)
crew,,Frequency (Subtitle)
roy,,Frequency (Subtitle)
türen,,Frequency (Subtitle)
elena,,Frequency (Subtitle)
arbeitete,,Frequency (Subtitle)
spiegel,,Frequency (Subtitle)
hauen,,Frequency (Subtitle)
geraten,,Frequency (Subtitle)
dritten,,Frequency (Subtitle)
ross,,Frequency (Subtitle)
julie,,Frequency (Subtitle)
schwul,,Frequency (Subtitle)
befindet,,Frequency (Subtitle)
german,,Frequency (Subtitle)
armer,,Frequency (Subtitle)
gucken,,Frequency (Subtitle)
anstatt,,Frequency (Subtitle)
champagner,,Frequency (Subtitle)
gründe,,Frequency (Subtitle)
smith,,Frequency (Subtitle)
öfter,,Frequency (Subtitle)
anne,,Frequency (Subtitle)
zelle,,Frequency (Subtitle)
langen,,Frequency (Subtitle)
altes,,Frequency (Subtitle)
ruiniert,,Frequency (Subtitle)
jonathan,,Frequency (Subtitle)
kenn,,Frequency (Subtitle)
agenten,,Frequency (Subtitle)
herausgefunden,,Frequency (Subtitle)
annie,,Frequency (Subtitle)
rechten,,Frequency (Subtitle)
berlin,,Frequency (Subtitle)
erfreut,,Frequency (Subtitle)
lügt,,Frequency (Subtitle)
nehm,,Frequency (Subtitle)
harte,,Frequency (Subtitle)
staaten,,Frequency (Subtitle)
gaben,,Frequency (Subtitle)
hinterher,,Frequency (Subtitle)
geholt,,Frequency (Subtitle)
jesse,,Frequency (Subtitle)
trinke,,Frequency (Subtitle)
klären,,Frequency (Subtitle)
zunge,,Frequency (Subtitle)
besseren,,Frequency (Subtitle)
versuchst,,Frequency (Subtitle)
dahinter,,Frequency (Subtitle)
schwere,,Frequency (Subtitle)
feuern,,Frequency (Subtitle)
lucy,,Frequency (Subtitle)
schießt,,Frequency (Subtitle)
anführer,,Frequency (Subtitle)
schief,,Frequency (Subtitle)
blau,,Frequency (Subtitle)
bestens,,Frequency (Subtitle)
wartest,,Frequency (Subtitle)
gehts,,Frequency (Subtitle)
morgan,,Frequency (Subtitle)
unrecht,,Frequency (Subtitle)
leck,,Frequency (Subtitle)
wonach,,Frequency (Subtitle)
entwickelt,,Frequency (Subtitle)
krebs,,Frequency (Subtitle)
gemein,,Frequency (Subtitle)
wessen,,Frequency (Subtitle)
minister,,Frequency (Subtitle)
lhnen,,Frequency (Subtitle)
schiffe,,Frequency (Subtitle)
schüsse,,Frequency (Subtitle)
bricht,,Frequency (Subtitle)
spitze,,Frequency (Subtitle)
treiben,,Frequency (Subtitle)
ausgezeichnet,,Frequency (Subtitle)
tatort,,Frequency (Subtitle)
möglichkeiten,,Frequency (Subtitle)
trinkt,,Frequency (Subtitle)
esse,,Frequency (Subtitle)
cop,,Frequency (Subtitle)
details,,Frequency (Subtitle)
täter,,Frequency (Subtitle)
wahren,,Frequency (Subtitle)
offiziell,,Frequency (Subtitle)
entscheidungen,,Frequency (Subtitle)
gegenseitig,,Frequency (Subtitle)
gewählt,,Frequency (Subtitle)
charlotte,,Frequency (Subtitle)
pech,,Frequency (Subtitle)
verteidigen,,Frequency (Subtitle)
schauspieler,,Frequency (Subtitle)
personen,,Frequency (Subtitle)
überlassen,,Frequency (Subtitle)
trägst,,Frequency (Subtitle)
begegnet,,Frequency (Subtitle)
betrogen,,Frequency (Subtitle)
besucht,,Frequency (Subtitle)
vertrau,,Frequency (Subtitle)
europa,,Frequency (Subtitle)
carrie,,Frequency (Subtitle)
patrick,,Frequency (Subtitle)
deutschland,,Frequency (Subtitle)
süßer,,Frequency (Subtitle)
loswerden,,Frequency (Subtitle)
melde,,Frequency (Subtitle)
maggie,,Frequency (Subtitle)
bestätigt,,Frequency (Subtitle)
setze,,Frequency (Subtitle)
briefe,,Frequency (Subtitle)
,,Frequency (Subtitle)
penny,,Frequency (Subtitle)
schlafe,,Frequency (Subtitle)
wirken,,Frequency (Subtitle)
geführt,,Frequency (Subtitle)
starten,,Frequency (Subtitle)
götter,,Frequency (Subtitle)
übergeben,,Frequency (Subtitle)
